,Compound,Negative,Neutral,Positive,Tweet,coordinates,latitudes,longitudes,target,time,tweet_ID,tweet_location
0,-0.4344,0.135,0.804,0.06,RT @Damo_Nation: My feeling when there is no construction on University Avenue for the first time in my time at UNI!!!!! https://t.co/nuH5w…,"42.0307812, -93.63191309999999",42.0307812,-93.63191309999999,giraffe,Sat Oct 20 19:27:45 +0000 2018,1053729502747127808,"Ames, IA"
4,0.5574,0.0,0.827,0.173,RT @Kilsally: If there is a second referendum or a backstop then I am hanging up my voting shoes. Might as well be like the Jehovah Witness…,"51.5073509, -0.1277583",51.5073509,-0.1277583,giraffe,Sat Oct 20 19:26:41 +0000 2018,1053729232755539974,"London, England"
5,-0.2716,0.104,0.896,0.0,@resurgentsheep @CitySamuel What I find really strange is how all the Brexiteer Tories filed in behind May for lead… https://t.co/Mc5kH3JZv6,"51.5073509, -0.1277583",51.5073509,-0.1277583,giraffe,Sat Oct 20 19:26:03 +0000 2018,1053729076136034305,"London, England"
6,0.3818,0.178,0.581,0.24,"that was fun while it lasted.
Unfortunately I lagged out.

Thanks to everyone that joined.
Even if I couldn’t recog… https://t.co/Xj3XhKEel0","42.812529, -71.63824799999999",42.812529,-71.63824799999999,giraffe,Sat Oct 20 19:25:54 +0000 2018,1053729038261501953, 1 mile away
8,0.8689,0.0,0.38,0.62,"@DaftLimmy @UrbanBarGlasgow Happy Birthday, and thanks for the laughs","53.1491175, -6.0793414",53.1491175,-6.0793414,giraffe,Sat Oct 20 19:25:26 +0000 2018,1053728919004868610,"Greystones, Wicklow, Ireland"
9,0.0,0.0,1.0,0.0,@Ciku_Muriithi I wonder how they removed the rope cause now the giraffe is taller than everyone 🤔🤔,"-26.2041028, 28.0473051",-26.2041028,28.0473051,giraffe,Sat Oct 20 19:24:53 +0000 2018,1053728781574246410,"Johannesburg, South Africa"
12,0.0,0.0,1.0,0.0,did anyone notice that The Brick House is right next door to The Giraffe House (aka: The Flip House)? just saying #FixerUpper,"40.8478065, -74.5747248",40.8478065,-74.5747248,giraffe,Sat Oct 20 19:24:04 +0000 2018,1053728577315848193,"randolph, new jersey "
15,0.0,0.0,1.0,0.0,@Larry_giraffe_ Caught in a landslide,"34.0928384, -118.2252548",34.0928384,-118.2252548,giraffe,Sat Oct 20 19:23:46 +0000 2018,1053728498664333314,oof
18,0.0,0.0,1.0,0.0,"RT @underscorelexie: me &amp; @idwklyss ‘s rating of the giraffe emojis 

— a thread 🦒","43.653226, -79.3831843",43.653226,-79.3831843,giraffe,Sat Oct 20 19:22:47 +0000 2018,1053728252790038528,toronto / 08.27
19,0.0,0.0,1.0,0.0,"RT @affricanfacts: You can sleep underwater in Tanzania at the Manta Resort,eat with giraffes in Kenya at Giraffe Manor and walk with lions…","-17.8251657, 31.03351",-17.8251657,31.03351,giraffe,Sat Oct 20 19:22:24 +0000 2018,1053728156027371520,"Harare, Zimbabwe"
24,-0.2263,0.185,0.664,0.151,"RT @Swahili5th: #Wildlife RT @TomHall: African Wildlife Defence Force Rangers 

struggle to help an injured

Giraffe back on to her feet.
#…","55.770242, -2.005395",55.770242,-2.005395,giraffe,Sat Oct 20 19:21:47 +0000 2018,1053728001777680385,"Berwick upon Tweed, England"
27,0.6249,0.0,0.687,0.313,@resurgentsheep That is an awesome piece. Hats off to @CitySamuel,"51.5073509, -0.1277583",51.5073509,-0.1277583,giraffe,Sat Oct 20 19:20:37 +0000 2018,1053727707534630913,"London, England"
28,0.0,0.0,1.0,0.0,RT @WCGWVids: WCGW if i close the window on a Giraffe. https://t.co/VB4dVwF1Hb,"51.0486151, -114.0708459",51.0486151,-114.0708459,giraffe,Sat Oct 20 19:20:04 +0000 2018,1053727569881706496,"Calgary, Canada"
