,Compound,Negative,Neutral,Positive,Tweet,coordinates,latitudes,longitudes,target,time,tweet_ID,tweet_location
1,-0.4215,0.219,0.781,0.0,"RT @btschartdata: iTunes Australia:

#5 Waste It On Me (NEW) https://t.co/rhxHiMjg0m","40.7127753, -74.0059728",40.7127753,-74.0059728,apple,Fri Oct 26 01:53:42 +0000 2018,1055638569321152513,New York
2,-0.296,0.121,0.879,0.0,China &gt; Xiaomi no se rinde ante Apple y Huawei y lanza un smartphone más caro https://t.co/3hRiDHQG5Z #todos #feedly,"19.4326077, -99.133208",19.4326077,-99.133208,apple,Fri Oct 26 01:53:42 +0000 2018,1055638569019035649,Ciudad de México
3,0.6546,0.096,0.638,0.266,RT @dad_darius: So now this chump feels he’s being targeted. Funny thing is those who’s lives have been truly threatened are not crying lik…,"35.1495343, -90.0489801",35.1495343,-90.0489801,apple,Fri Oct 26 01:53:42 +0000 2018,1055638567999979520,"Memphis, Sept 7th"
4,0.34,0.0,0.882,0.118,@AARHDREAL @Satheesh77 It’s nothing to do with fanboyism. It’s everything to do with how I value privacy and securi… https://t.co/u7sjgbeBvE,"38.9071923, -77.0368707",38.9071923,-77.0368707,apple,Fri Oct 26 01:53:41 +0000 2018,1055638566557175808,"Washington, DC"
10,0.743,0.099,0.594,0.307,"RT @WWE: From #205Live commentary to official theme songs, @Wale's passion for @WWE is clear. ""Ungrateful &amp; Thankful"" is featured on @WWEga…","37.09024, -95.712891",37.09024,-95.712891,apple,Fri Oct 26 01:53:41 +0000 2018,1055638564749406208,United States
14,-0.4215,0.167,0.833,0.0,"RT @btschartdata: iTunes UK:

#4 Waste It On Me (feat. BTS) (+2) *new peak* https://t.co/rhxHiMjg0m","34.0522342, -118.2436849",34.0522342,-118.2436849,apple,Fri Oct 26 01:53:40 +0000 2018,1055638561981050880,"Los Angeles, CA or Seattle, WA"
15,0.0,0.0,1.0,0.0,➞MASAKI YODA -宇宙船- https://t.co/Ksb5ohE3R1 #musica #Giappone #informazioni,"36.204824, 138.252924",36.204824,138.252924,apple,Fri Oct 26 01:53:40 +0000 2018,1055638561527984128,JAPAN
17,0.0,0.0,1.0,0.0,@sheHaitian It’s just shows the apple sign with the design thing it doesn’t go passed that:(,"37.09024, -95.712891",37.09024,-95.712891,apple,Fri Oct 26 01:53:40 +0000 2018,1055638560710115328,United States
18,0.7964,0.0,0.679,0.321,"RT @CNN: Being gay is ""God's greatest gift to me,"" says Apple CEO Tim Cook https://t.co/KjFsYZsjlO https://t.co/D0bqmWgyDb","13.0826802, 80.2707184",13.0826802,80.2707184,apple,Fri Oct 26 01:53:40 +0000 2018,1055638560521351168,Madras
25,0.0,0.0,1.0,0.0,"RT @AppleMusic: Another🔥collab from @steveaoki x @BTS_twt. Listen to #WasteItonMe.
https://t.co/NlWZYv1ghd","14.1665324, 108.902683",14.1665324,108.902683,apple,Fri Oct 26 01:53:39 +0000 2018,1055638557165944834,"Bình Định, Việt Nam"
26,0.0,0.0,1.0,0.0,"RT @AppleMusic: Another🔥collab from @steveaoki x @BTS_twt. Listen to #WasteItonMe.
https://t.co/NlWZYv1ghd","42.9874682, -79.6976318",42.9874682,-79.6976318,apple,Fri Oct 26 01:53:39 +0000 2018,1055638556339724288,purple haven
