,Compound,Negative,Neutral,Positive,Tweet,coordinates,latitudes,longitudes,target,time,tweet_ID,tweet_location
0,-0.1655,0.073,0.927,0.0,"RT @SuzyWrack: Until domestic attendances go up women’s football will struggle to take a big leap forward. I don’t have the answers, but he…","52.52000659999999, 13.404954",52.52000659999999,13.404954,football,Wed Oct 24 04:18:53 +0000 2018,1054950330499301378,"Berlin, mostly. "
1,0.0,0.0,1.0,0.0,Longest loan in football history 🤣 #CR7 #mufc #MUNJUV https://t.co/pJcfVeqU7x,"25.2048493, 55.2707828",25.2048493,55.2707828,football,Wed Oct 24 04:18:52 +0000 2018,1054950328116936704,"Dubai, United Arab Emirates"
3,-0.296,0.091,0.909,0.0,RT @a_bidwell_: He got kicked off the team.... couldn’t transfer becuase no school wanted him with these allegations.... now is too old to…,"37.09024, -95.712891",37.09024,-95.712891,football,Wed Oct 24 04:18:51 +0000 2018,1054950320554606592,United States
4,0.2349,0.107,0.716,0.177,RT @ahmednasirlaw: You can't argue with the class of Mourinho...after the defeat to Juventus he said their players were too good and could…,"-1.2920659, 36.8219462",-1.2920659,36.8219462,football,Wed Oct 24 04:18:50 +0000 2018,1054950320047038464,nairobi
7,-0.1531,0.131,0.763,0.106,"RT @shaunking: Chad Kelly is white privilege personified.

Suspended from high school football twice, then transferred.

Kicked off of Clem…","41.8019705, -89.68117989999999",41.8019705,-89.68117989999999,football,Wed Oct 24 04:18:47 +0000 2018,1054950305501233152,Somewhere Over the Rainbow
9,-0.1531,0.131,0.763,0.106,"RT @shaunking: Chad Kelly is white privilege personified.

Suspended from high school football twice, then transferred.

Kicked off of Clem…","39.900076, -79.71643259999999",39.900076,-79.71643259999999,football,Wed Oct 24 04:18:43 +0000 2018,1054950288556261377,"Uniontown, Pennsylvania"
12,0.0,0.0,1.0,0.0,Weekly Wednesday @SBRSportsPicks Sports Betting Roundtable show LIVE at 10:00am ET with me @JeffNadu @RightSideVP a… https://t.co/nE2MqP78TC,"43.26650890000001, -79.9568685",43.26650890000001,-79.9568685,football,Wed Oct 24 04:18:41 +0000 2018,1054950281337802752,"Dundas, Ontario, Canada"
13,-0.8074,0.258,0.742,0.0,"RT @awfulannouncing: Monday Night Football has a hell of a lot of problems right now, and Jason Witten's bland commentary is just the tip o…","36.082156, -94.17185420000001",36.082156,-94.17185420000001,football,Wed Oct 24 04:18:41 +0000 2018,1054950281161646080,"Fayetteville, AR"
14,-0.5574,0.247,0.753,0.0,"RT @Burnt_Mamba: When football szn over, I'm Donald Trump w this twitter shit","29.6196787, -95.6349463",29.6196787,-95.6349463,football,Wed Oct 24 04:18:41 +0000 2018,1054950280796823552,"Sugar Land, TX"
16,0.6369,0.0,0.625,0.375,Ohio State football is the greatest thing ever.,"37.7478572, -84.2946539",37.7478572,-84.2946539,football,Wed Oct 24 04:18:40 +0000 2018,1054950278162800640,"Richmond, KY"
