,Compound,Negative,Neutral,Positive,Tweet,coordinates,latitudes,longitudes,target,time,tweet_ID,tweet_location
0,-0.4019,0.162,0.838,0.0,RT @sunflowermikeyy: 200 retweets and I’ll scream  pizza lyrics at the 5SOS concert next week,"36.778261, -119.4179324",36.778261,-119.4179324,pizza,Wed Oct 24 19:22:01 +0000 2018,1055177611436064769,"California, USA"
1,0.0,0.0,1.0,0.0,@poulet_sauvage_ quelles photoooos?,"46.227638, 2.213749",46.227638,2.213749,pizza,Wed Oct 24 19:21:59 +0000 2018,1055177605245296640,France
2,-0.4767,0.129,0.871,0.0,"RT @TheRickWilson: ""These bombs targeting Hillary and Obama are a fake news stunt,"" say people who thought Hillary ran a child sex ring fro…","25.8061913, -80.12479669999999",25.8061913,-80.12479669999999,pizza,Wed Oct 24 19:21:59 +0000 2018,1055177603777286144,The Red South
3,0.0,0.0,1.0,0.0,Çocuk tek başına 5dilim pizza yemiş.. https://t.co/lScwdoDKt1,"37.857913, 27.261015",37.857913,27.261015,pizza,Wed Oct 24 19:21:59 +0000 2018,1055177603542384641,Kusadasi
4,-0.1759,0.094,0.837,0.069,RT @WorldOfWonder: BOO! It’s the ghost of your cringe tweet at Domino’s Pizza you forgot about from three years ago 👻🍕 jk it’s a brand new…,"55.953252, -3.188267",55.953252,-3.188267,pizza,Wed Oct 24 19:21:56 +0000 2018,1055177589755727872,"Edinburgh, Scotland"
6,-0.8316,0.315,0.685,0.0,"RT @KaivanShroff: They murdered Heather Heyer.

They got a D.C. pizza joint shot up.

Their congressman assaulted a journalist. 

Their pre…","38.913449, -94.64832899999999",38.913449,-94.64832899999999,pizza,Wed Oct 24 19:21:55 +0000 2018,1055177588279263232,bristol
7,0.0,0.0,1.0,0.0,Folks eating cheese pizza willingly but turn there nose up at Green Bean Casserole,"35.1495343, -90.0489801",35.1495343,-90.0489801,pizza,Wed Oct 24 19:21:55 +0000 2018,1055177587524333568,"Memphis, TN"
10,-0.3612,0.172,0.828,0.0,"RT @PhotoComics: @JacobAWohl @No1nowhere3 BREAKING:  Wife Intercepts Suspicious Pizza Sent to ""Dieting"" Husband","27.6648274, -81.5157535",27.6648274,-81.5157535,pizza,Wed Oct 24 19:21:55 +0000 2018,1055177584428941312,"Florida, USA"
11,0.7717,0.0,0.573,0.427,Barça + pizza para cenar= de relax para acabar el day xD,"41.3850639, 2.1734035",41.3850639,2.1734035,pizza,Wed Oct 24 19:21:53 +0000 2018,1055177578884067328,Barcelona
12,0.7579,0.0,0.787,0.213,"RT @jeoff6: Friend called me from Victoria. The ""big rally"" was all bs. They were bribing people to attend for free beer and pizza. How pat…","53.7266683, -127.6476205",53.7266683,-127.6476205,pizza,Wed Oct 24 19:21:53 +0000 2018,1055177576157667328,"British Columbia, Canada"
14,0.2732,0.0,0.851,0.149,RT @JuiceTooWavie: On god that square pizza at breakfast time hit different https://t.co/IGvcxGe2Pm,"29.356348, -98.11556329999999",29.356348,-98.11556329999999,pizza,Wed Oct 24 19:21:53 +0000 2018,1055177575918682118,"La Vernia, Tx"
15,-0.1531,0.065,0.935,0.0,"RT @danrivoli: no, it's unofficial NYC law you don't eat anything with an aroma that exceeds your physical space, except pizza, but only if…","40.7762231, -73.94920789999999",40.7762231,-73.94920789999999,pizza,Wed Oct 24 19:21:52 +0000 2018,1055177575843225600,"Yorkville, Manhattan"
16,0.0,0.0,1.0,0.0,"Klasse Produkt aus der Nachbarschaft!
Video ""Piccola Pizza"" - Abendschau - Der Süden https://t.co/l5IROUicjg via @ARDde","48.050783, 10.8703515",48.050783,10.8703515,pizza,Wed Oct 24 19:21:52 +0000 2018,1055177575675412482,"Landsberg am Lech, Deutschland"
17,0.5319,0.0,0.368,0.632,PIZZA PARTY 🍕🍕🍕,"9.072587, 126.1701924",9.072587,126.1701924,pizza,Wed Oct 24 19:21:52 +0000 2018,1055177573515190272,Tandag ✈️ Cebu
18,0.0,0.0,1.0,0.0,Espero que tudo termine em pizza,"-22.9068467, -43.1728965",-22.9068467,-43.1728965,pizza,Wed Oct 24 19:21:52 +0000 2018,1055177572668133378,"Rio de Janeiro, Brasil"
19,0.0,0.0,1.0,0.0,RT @wanthegoat: Ion count ppl pockets....but dawg. You always talking bout somebody else bread and they always bring up the fly out/pizza s…,"40.7127753, -74.0059728",40.7127753,-74.0059728,pizza,Wed Oct 24 19:21:52 +0000 2018,1055177572575784960,"New York, NY"
23,0.0,0.0,1.0,0.0,@lea_loves_pizza https://t.co/lLd2epZqiT,"36.0326066, -95.90558019999999",36.0326066,-95.90558019999999,pizza,Wed Oct 24 19:21:51 +0000 2018,1055177568062763010,91
25,0.0,0.0,1.0,0.0,Stuffed crust pizza. https://t.co/UDprwLAyRd,"34.055282, -118.412804",34.055282,-118.412804,pizza,Wed Oct 24 19:21:49 +0000 2018,1055177563268620296,Nakatomi Tower
26,0.0,0.0,1.0,0.0,Ce soir on va graille pizza napolitaine,"50.8503463, 4.3517211",50.8503463,4.3517211,pizza,Wed Oct 24 19:21:49 +0000 2018,1055177562132004864,"Bruxelles, Belgique"
30,-0.8316,0.315,0.685,0.0,"RT @KaivanShroff: They murdered Heather Heyer.

They got a D.C. pizza joint shot up.

Their congressman assaulted a journalist. 

Their pre…","26.5628537, -81.9495331",26.5628537,-81.9495331,pizza,Wed Oct 24 19:21:47 +0000 2018,1055177552610910208,"Cape Coral, FL"
32,0.0,0.096,0.808,0.096,RT @pitt_pdm: Don’t forget @Lotsa_Pizza fundraiser tonight 6:30-9:30! 20% of your purchase will go straight towards PDM😁 https://t.co/BGUb5…,"37.09024, -95.712891",37.09024,-95.712891,pizza,Wed Oct 24 19:21:46 +0000 2018,1055177550014615552,United States of America
33,0.7263,0.0,0.783,0.217,RT @EMSISD: Thank you to Mod Pizza Saginaw for the teacher and staff appreciation day happening on October 25! See flyer below for details.…,"32.7554883, -97.3307658",32.7554883,-97.3307658,pizza,Wed Oct 24 19:21:46 +0000 2018,1055177547263213568,"Fort Worth, TX"
35,0.7067,0.0,0.673,0.327,RT @nitram___: Pineapples on pizza is very delicious TO ME!!! 😭 https://t.co/foS5FylhXZ,"37.9577016, -121.2907796",37.9577016,-121.2907796,pizza,Wed Oct 24 19:21:45 +0000 2018,1055177544025071616,"Stockton, CA"
37,0.7184,0.0,0.792,0.208,RT @that1mum: I asked him if he wanted to order a pizza and he started doin this. I love him so much. https://t.co/pVoRVHmK5R,"40.813616, -96.7025955",40.813616,-96.7025955,pizza,Wed Oct 24 19:21:44 +0000 2018,1055177541210775552,"Lincoln, NE"
38,0.0,0.0,1.0,0.0,@88RYEN @emoblackthot Ewww people still it Pizza Hut?,"27.6648274, -81.5157535",27.6648274,-81.5157535,pizza,Wed Oct 24 19:21:44 +0000 2018,1055177538383872000,Florida
43,-0.8316,0.315,0.685,0.0,"RT @KaivanShroff: They murdered Heather Heyer.

They got a D.C. pizza joint shot up.

Their congressman assaulted a journalist. 

Their pre…","38.9086635, -77.0433177",38.9086635,-77.0433177,pizza,Wed Oct 24 19:21:38 +0000 2018,1055177516783153155,Washington DC metro
44,-0.8316,0.315,0.685,0.0,"RT @KaivanShroff: They murdered Heather Heyer.

They got a D.C. pizza joint shot up.

Their congressman assaulted a journalist. 

Their pre…","41.8781136, -87.6297982",41.8781136,-87.6297982,pizza,Wed Oct 24 19:21:38 +0000 2018,1055177515990507521,"Chicago, IL"
46,0.2732,0.0,0.851,0.149,RT @JuiceTooWavie: On god that square pizza at breakfast time hit different https://t.co/IGvcxGe2Pm,"38.8159473, -76.74969089999999",38.8159473,-76.74969089999999,pizza,Wed Oct 24 19:21:38 +0000 2018,1055177514174287874,"upper marlboro, maryland "
50,0.0,0.0,1.0,0.0,"RT @vas_happenin_nh: Na obiad pizza z patelni 🍕 całość ma 350 kcal, czyli tyle co jeden kawałek dużej pizzy, a da się nią najeść na kilka g…","52.406374, 16.9251681",52.406374,16.9251681,pizza,Wed Oct 24 19:21:36 +0000 2018,1055177505160814594,"Poznań, Polska"
51,-0.4767,0.129,0.871,0.0,"RT @TheRickWilson: ""These bombs targeting Hillary and Obama are a fake news stunt,"" say people who thought Hillary ran a child sex ring fro…","35.7595731, -79.01929969999999",35.7595731,-79.01929969999999,pizza,Wed Oct 24 19:21:34 +0000 2018,1055177497648791554,"North Carolina, USA"
52,-0.4767,0.129,0.871,0.0,"RT @TheRickWilson: ""These bombs targeting Hillary and Obama are a fake news stunt,"" say people who thought Hillary ran a child sex ring fro…","40.8447819, -73.8648268",40.8447819,-73.8648268,pizza,Wed Oct 24 19:21:33 +0000 2018,1055177493936771072,"Bronx, NY"
53,0.0,0.0,1.0,0.0,"We don't see things as they are, we see them as we are. #quotes #quote","37.3398697, -95.2626978",37.3398697,-95.2626978,pizza,Wed Oct 24 19:21:32 +0000 2018,1055177490002468865,Dreams.
54,0.0,0.0,1.0,0.0,"RT @PatrickRandall: Whether it's sent through the mail, dropped from the sky, set next to a road or walking into a pizza parlor: all #bombi…","32.6926512, -114.6276916",32.6926512,-114.6276916,pizza,Wed Oct 24 19:21:32 +0000 2018,1055177488639254528,"Yuma, AZ"
55,0.0,0.0,1.0,0.0,"RT @thomas_guenole: ""Insécurité culturelle? La France porte le nom d’une tribu germanique, parle une langue originaire d’Italie, sa religio…","48.856614, 2.3522219",48.856614,2.3522219,pizza,Wed Oct 24 19:21:31 +0000 2018,1055177485439197186,"Paris, France"
57,-0.5859,0.248,0.661,0.091,RT @AveSoprano: Yeah dat shit was wild niggas was really at lunch wit pepperoni pizza &amp; Kufi on https://t.co/sMgmX8bT6f,"35.9382103, -77.7905339",35.9382103,-77.7905339,pizza,Wed Oct 24 19:21:30 +0000 2018,1055177482817732608,"Rocky Mount, NC"
58,0.6557,0.0,0.834,0.166,"Just spoken to my family via Skype, now off to get a pizza, then I'll tweet more about my great day, the fantastic… https://t.co/H57mnpVNc9","58.9809401, -2.9605206",58.9809401,-2.9605206,pizza,Wed Oct 24 19:21:30 +0000 2018,1055177482633183232,Orkney
59,0.0,0.0,1.0,0.0,RT @emiwnem: to com fome de pizza 🍕,"-14.235004, -51.92528",-14.235004,-51.92528,pizza,Wed Oct 24 19:21:30 +0000 2018,1055177481706192897,Brazil 
