,Compound,Negative,Neutral,Positive,Tweet,coordinates,latitudes,longitudes,target,time,tweet_ID,tweet_location
0,0.0,0.133,0.734,0.133,"RT @Kris_Sacrebleu: Truly, trump’s incessant attacks on media and talking points had ZERO influence on the #MAGAbomber 🙄 https://t.co/jpVZi…","38.440429, -122.7140548",38.440429,-122.7140548,trump,Fri Oct 26 16:48:29 +0000 2018,1055863750773764096,"Santa Rosa, CA"
2,0.0,0.0,1.0,0.0,RT @PolitixGal: Comparing the first 2 years of Trump v. Obama presidencies we see a stark difference! #MAGA #VoteDemsOut https://t.co/XB7ss…,"30.3321838, -81.65565099999999",30.3321838,-81.65565099999999,trump,Fri Oct 26 16:48:29 +0000 2018,1055863750710964225,Jacksonville Florida USA
5,0.7003,0.0,0.698,0.302,"Well, there you go. A Trump supporter was behind the bombs. Guess since he is a supporter he will get off on a mental defense.","39.9525839, -75.1652215",39.9525839,-75.1652215,trump,Fri Oct 26 16:48:29 +0000 2018,1055863750346063876,"Philadelphia, PA"
7,0.34,0.0,0.909,0.091,"RT @Coco_Wms: Per Cesar Sayoc’s FB page, he is Native American &amp; a member of the Seminole Tribe of Florida. ""A year ago, Sayoc shared a pho…","36.778261, -119.4179324",36.778261,-119.4179324,trump,Fri Oct 26 16:48:29 +0000 2018,1055863750324932608,"California, USA"
8,0.6908,0.0,0.739,0.261,"RT @lachlan: Trump: you can't enter the country illegally, you must follow the law.

Caravan: okay, we'd like asylum please.

Trump: https:…","35.1495343, -90.0489801",35.1495343,-90.0489801,trump,Fri Oct 26 16:48:29 +0000 2018,1055863750299996160,"Memphis, TN"
9,-0.4767,0.147,0.853,0.0,"As migrant caravan nears, Trump is making the border situation worse by Melissa Locker via Fast Company https://t.co/ZkAnSRtxvI #motivation","41.49932, -81.6943605",41.49932,-81.6943605,trump,Fri Oct 26 16:48:29 +0000 2018,1055863750283149312,"Cleveland, OH"
10,0.0,0.0,1.0,0.0,"RT @pacelattin: MAGA Bomber Cesar Sayoc, Jr was a regular at Trump rallies and considered a ""celebrity"" amongst the fanatics. https://t.co/…","40.7127753, -74.0059728",40.7127753,-74.0059728,trump,Fri Oct 26 16:48:29 +0000 2018,1055863750199263232,"New York, NY"
13,0.0,0.0,1.0,0.0,"@Alyssa_Milano Wow...wonder if this guy is native American?  One of the bumper sticker says, ""native Americans for… https://t.co/nwT2RXkC7F","39.1031182, -84.5120196",39.1031182,-84.5120196,trump,Fri Oct 26 16:48:29 +0000 2018,1055863750161547264,"Cincinnati, OH"
16,0.0,0.0,1.0,0.0,"RT @CBNoficial: 'Trump descobriu caminho de sucesso adotando SUA loucura de canalha como projeto político. Aqui, está acontecendo o mesmo'.…","-30.0346471, -51.2176584",-30.0346471,-51.2176584,trump,Fri Oct 26 16:48:29 +0000 2018,1055863750111170560,Poa/RS
17,0.4767,0.0,0.86,0.14,"RT @ryanstruyk: President Trump approval rating via new NPR/PBS/Marist poll:

White men w/o degree:
64% approve
30% disapprove

White women…","34.4405739, -83.1317579",34.4405739,-83.1317579,trump,Fri Oct 26 16:48:29 +0000 2018,1055863750081830912,"St Marys, GA and Highlands, NC"
18,-0.4243,0.184,0.725,0.091,"RT @funder: Trump should realize by now the more he whines like a little baby about how much he is criticized, the more he gets criticized.…","27.950575, -82.4571776",27.950575,-82.4571776,trump,Fri Oct 26 16:48:29 +0000 2018,1055863749863751680,"Tampa, Florida"
20,0.0,0.0,1.0,0.0,Perspective (Sloan): On Trump and the Fed: What planet is he on? https://t.co/e6YysYe7oA,"40.4172871, -82.90712300000001",40.4172871,-82.90712300000001,trump,Fri Oct 26 16:48:29 +0000 2018,1055863749716926465,"Ohio, USA"
23,0.5859,0.0,0.868,0.132,RT @treasonstickers: If you're telling me that Hillary and Obama teamed up with Russia and the FBI to hack an election for Trump to win so…,"36.8252277, -119.7029194",36.8252277,-119.7029194,trump,Fri Oct 26 16:48:29 +0000 2018,1055863749557411840,"Clovis, CA"
25,-0.6908,0.283,0.717,0.0,"Naw, it's just Trump. Bizarre would be if Bush or Obama approached such a serious and dangerous situation this way.… https://t.co/FuHDdTuvrP","39.0457549, -76.64127119999999",39.0457549,-76.64127119999999,trump,Fri Oct 26 16:48:29 +0000 2018,1055863749394026496,Maryland
27,0.6486,0.0,0.751,0.249,"RT @LadyLibertyInEx: Well, this is interesting...
FBI will speak at 2:30pm.
President Trump, while addressing enthusiastic black supporters…","37.09024, -95.712891",37.09024,-95.712891,trump,Fri Oct 26 16:48:29 +0000 2018,1055863749272391683,USA
28,-0.2942,0.105,0.841,0.055,"RT @JessieJaneDuff: We have 11 DAYS from Election Day! 

President Trump said, ""If you want lower taxes, less regulation, and more products…","29.4241219, -98.49362819999999",29.4241219,-98.49362819999999,trump,Fri Oct 26 16:48:29 +0000 2018,1055863749146525698,"San Antonio, TX"
29,0.6808,0.0,0.645,0.355,Cooling growth prospects knock $100bn off top tech stocks https://t.co/26iZy6wcT3 via @financialtimes #Trump #trade… https://t.co/HpvOO2vLWY,"50.8503463, 4.3517211",50.8503463,4.3517211,trump,Fri Oct 26 16:48:29 +0000 2018,1055863748848697345,Brussels
32,0.5994,0.077,0.701,0.221,"RT @ShadowingTrump: Gotta hand it to those Dems perpetrating a hoax. Nice touch to plaster pictures of Trump all over suspect's van.

Next:…","33.4483771, -112.0740373",33.4483771,-112.0740373,trump,Fri Oct 26 16:48:29 +0000 2018,1055863748781473793,"Phoenix, AZ"
33,0.0,0.0,1.0,0.0,"RT @pacelattin: MAGA Bomber Cesar Sayoc, Jr was a regular at Trump rallies and considered a ""celebrity"" amongst the fanatics. https://t.co/…","42.3600825, -71.0588801",42.3600825,-71.0588801,trump,Fri Oct 26 16:48:29 +0000 2018,1055863748660023297,"Boston, MA"
36,0.0,0.0,1.0,0.0,"RT @PrisonPlanet: Cesar Sayoc - the alleged mail bomber - had Trump stickers all over his vehicle. But on Twitter, he only follows 32 peopl…","41.2033216, -77.1945247",41.2033216,-77.1945247,trump,Fri Oct 26 16:48:29 +0000 2018,1055863748567687168,"Pennsylvania, USA"
37,0.4767,0.0,0.86,0.14,"RT @ryanstruyk: President Trump approval rating via new NPR/PBS/Marist poll:

White men w/o degree:
64% approve
30% disapprove

White women…","28.3874436, -81.4930261",28.3874436,-81.4930261,trump,Fri Oct 26 16:48:29 +0000 2018,1055863748538228741,Citizen-USA
39,0.0,0.0,1.0,0.0,"RT @PrisonPlanet: Cesar Sayoc - the alleged mail bomber - had Trump stickers all over his vehicle. But on Twitter, he only follows 32 peopl…","37.8393332, -84.2700179",37.8393332,-84.2700179,trump,Fri Oct 26 16:48:29 +0000 2018,1055863748244762626,"Kentucky, USA"
40,-0.6786,0.218,0.782,0.0,@BreeTide I noticed that also.  Very little Trump. This does not add up so far.  I refuse to watch fake news CNN an… https://t.co/R1aNB5XcLK,"40.9350986, -74.0190281",40.9350986,-74.0190281,trump,Fri Oct 26 16:48:29 +0000 2018,1055863748165017600,"New Milford, NJ"
41,0.5106,0.0,0.858,0.142,"RT @Rockprincess818: Trump speaks of unity in a room full of young black Americans widely cheering, nothing can surpass these optics. Nothi…","37.09024, -95.712891",37.09024,-95.712891,trump,Fri Oct 26 16:48:29 +0000 2018,1055863748144087042,United States
42,0.5927,0.0,0.832,0.168,"i agree... lots of pictures but REAL trump supporters UNDERSTAND what ""MAGA"" means. This van doesn't say that to me… https://t.co/m2RzhtIEc5","28.810823, -81.87785819999999",28.810823,-81.87785819999999,trump,Fri Oct 26 16:48:29 +0000 2018,1055863748114767875,"Leesburg, FL"
43,-0.5859,0.16,0.84,0.0,RT @PhilippeReines: It’s bullshit the FBI was ordered to cover the MAGABOMBER’s MAGAVAN to spare trump from irrefutable evidence and embarr…,"48.856614, 2.3522219",48.856614,2.3522219,trump,Fri Oct 26 16:48:29 +0000 2018,1055863748097765376,Hopefully Paris
44,-0.6808,0.228,0.772,0.0,"RT @kurteichenwald: Perhaps now @foxnews, Trump and the other members of the conservative conspiracy theory clan can stop claiming that dem…","-33.8688197, 151.2092955",-33.8688197,151.2092955,trump,Fri Oct 26 16:48:29 +0000 2018,1055863748022300672,Sydney Australia
45,0.4404,0.0,0.854,0.146,"RT @f4ashygirl: USPS doesn’t deliver to anyone protected by the secret service. We’re being gaslit here folks. 

C A R A V A N  •  F A K E…","46.729553, -94.6858998",46.729553,-94.6858998,trump,Fri Oct 26 16:48:29 +0000 2018,1055863748009906176,"Minnesota, USA"
47,-0.6249,0.203,0.797,0.0,"RT @girlsreallyrule: The #MAGABomber suspect is Cesar Sayoc, who has several previous arrests. He was a regular on the Trump circuit and hi…","32.794341, -96.809506",32.794341,-96.809506,trump,Fri Oct 26 16:48:29 +0000 2018,1055863747905011712,The dark recesses of TX
