,Compound,Negative,Neutral,Positive,Tweet,coordinates,latitudes,longitudes,target,time,tweet_ID,tweet_location
1,0.0,0.0,1.0,0.0,"RT @AppleADay4Kids: When Mr. DeBartolo was named #LightningCommunityHero this year, he decided to donate $10,000 to Apple A Day! He, along…","27.950575, -82.4571776",27.950575,-82.4571776,apple,Fri Oct 26 02:41:05 +0000 2018,1055650493404512261,"Tampa, Florida"
3,0.0,0.0,1.0,0.0,"RT @AppleMusic: Another🔥collab from @steveaoki x @BTS_twt. Listen to #WasteItonMe.
https://t.co/NlWZYv1ghd","35.1795543, 129.0756416",35.1795543,129.0756416,apple,Fri Oct 26 02:41:05 +0000 2018,1055650492422877184,"Busan, Republic of Korea"
5,-0.4215,0.127,0.82,0.053,RT @katmiriamxo: Yall not seeing man’s eyes? He all levels of heart broken and he just want his cinnamon apple back https://t.co/mxguKGj61z,"33.5539143, -117.2139232",33.5539143,-117.2139232,apple,Fri Oct 26 02:41:04 +0000 2018,1055650490636132352,"Murrieta, CA"
7,0.0,0.0,1.0,0.0,"RT @AppleMusic: Another🔥collab from @steveaoki x @BTS_twt. Listen to #WasteItonMe.
https://t.co/NlWZYv1ghd","36.493985, -94.975647",36.493985,-94.975647,apple,Fri Oct 26 02:41:04 +0000 2018,1055650490451718147,the looks of dreamcatcher
8,0.0,0.0,1.0,0.0,"RT @AppleMusic: Another🔥collab from @steveaoki x @BTS_twt. Listen to #WasteItonMe.
https://t.co/NlWZYv1ghd","35.1795543, 129.0756416",35.1795543,129.0756416,apple,Fri Oct 26 02:41:04 +0000 2018,1055650489889513472,부산
9,0.0,0.0,1.0,0.0,RT @HimalayaMAS: Selamat pagi semua! Hello hello kopi ke milo? Selamat bekerja semua kerana hari ni merupakan hari Jumaat dan esok cuti! Bo…,"3.139003, 101.686855",3.139003,101.686855,apple,Fri Oct 26 02:41:04 +0000 2018,1055650489512058880,Kuala Lumpur Federal Territory
10,0.0,0.0,1.0,0.0,RT @imtaiki: ใครจะซื้อ iPhone XS และ iPhone XR หากเป็นไปได้ ขอให้ท่านอดทนสักนิด แล้วไปซื้อที่ Apple Store Iconsiam นะครับ แล้วคุณจะได้ที่สุ…,"37.1585693, -93.273153",37.1585693,-93.273153,apple,Fri Oct 26 02:41:04 +0000 2018,1055650488899620864,for him
11,0.0,0.0,1.0,0.0,"RT @AppleMusic: Another🔥collab from @steveaoki x @BTS_twt. Listen to #WasteItonMe.
https://t.co/NlWZYv1ghd","-9.189967, -75.015152",-9.189967,-75.015152,apple,Fri Oct 26 02:41:03 +0000 2018,1055650487566061568,Peru
17,0.0,0.0,1.0,0.0,"RT @AppleMusic: Another🔥collab from @steveaoki x @BTS_twt. Listen to #WasteItonMe.
https://t.co/NlWZYv1ghd","27.4779362, -99.549573",27.4779362,-99.549573,apple,Fri Oct 26 02:41:02 +0000 2018,1055650483640066048,"Nuevo Laredo, Tamaulipas"
20,0.0,0.0,1.0,0.0,RT @BTSxSoutheast: Let’s make it happen! Download the Q98 app and keep those requests for #WasteItOnMe by @steveaoki ft @BTS_twt going! App…,"32.1656221, -82.9000751",32.1656221,-82.9000751,apple,Fri Oct 26 02:41:02 +0000 2018,1055650481614270465,"Georgia, USA"
21,0.0,0.0,1.0,0.0,"It did indeed arrived. What was in the mystery package? The Apple give back kit for my watch, which has to be back… https://t.co/RdiiteeZiQ","47.6062095, -122.3320708",47.6062095,-122.3320708,apple,Fri Oct 26 02:41:02 +0000 2018,1055650481609961473,"Seattle, WA"
23,0.0,0.0,1.0,0.0,"RT @AppleMusic: Another🔥collab from @steveaoki x @BTS_twt. Listen to #WasteItonMe.
https://t.co/NlWZYv1ghd","-14.235004, -51.92528",-14.235004,-51.92528,apple,Fri Oct 26 02:41:02 +0000 2018,1055650481102643205,Brazil🇧🇷
25,0.0,0.0,1.0,0.0,"まだ貰えた！ (at @Apple 渋谷 in 渋谷区, 東京都) https://t.co/dBmcBzZod2 https://t.co/ivKH2c8mkU","35.6894875, 139.6917064",35.6894875,139.6917064,apple,Fri Oct 26 02:41:02 +0000 2018,1055650480888655874,東京都
