,Compound,Negative,Neutral,Positive,Tweet,coordinates,latitudes,longitudes,target,time,tweet_ID,tweet_location
0,0.7125,0.0,0.725,0.275,RT @rodger: NORTHWESTERN FOOTBALL HAS RECRUITED THE GREATEST MULTI-SPORT ATHLETE OF ALL TIME https://t.co/Ad6Lcjdxvk,"35.0077519, -97.092877",35.0077519,-97.092877,football,Sat Oct 20 21:08:58 +0000 2018,1053754976454000641,"Oklahoma, USA"
1,0.0,0.0,1.0,0.0,"RT @KYHighFootball: This is Barrow High School (Alaska) the northernmost high school. Never above 0° during football, dark for 65 straight…","37.09024, -95.712891",37.09024,-95.712891,football,Sat Oct 20 21:08:58 +0000 2018,1053754976256905217,United States
2,0.6486,0.0,0.791,0.209,"RT @CFCMod_: Approximately 107 billion humans have lived on this earth, an astonishing zero of them have played football better than Lionel…","12.0021794, 8.591956099999999",12.0021794,8.591956099999999,football,Sat Oct 20 21:08:58 +0000 2018,1053754976193953795,"Kano, Nigeria"
3,0.0,0.0,1.0,0.0,RT @lequipe: Monaco s'incline 2-1 à Strasbourg pour la première de Thierry Henry sur le banc monégasque https://t.co/CpDDgV1O3A https://t.c…,"48.856614, 2.3522219",48.856614,2.3522219,football,Sat Oct 20 21:08:58 +0000 2018,1053754974260355075,"Paris, France"
4,0.5267,0.0,0.861,0.139,"RT @ucf17rj: I’m sayin it now. 

@CollegeGameDay  is coming to #UCF....so let’s make that happen

TEAM: keep winning

“KNIGHT KNATION” we n…","27.6648274, -81.5157535",27.6648274,-81.5157535,football,Sat Oct 20 21:08:58 +0000 2018,1053754974109351936,"Florida, USA"
6,0.0795,0.114,0.761,0.126,RT @Abbymckendrick1: Why are MEN so bothered about this issue and free sanitary products being anywhere for that matter😂 it’s about raising…,"50.9082275, -1.4003639",50.9082275,-1.4003639,football,Sat Oct 20 21:08:58 +0000 2018,1053754973065003008,Southampton Solent University
9,0.0,0.0,1.0,0.0,RT @NOTSportsCenter: A Syracuse RB got to do to a ref what every football player wants to do to them this year https://t.co/o98vVm0qoo,"39.1031182, -84.5120196",39.1031182,-84.5120196,football,Sat Oct 20 21:08:57 +0000 2018,1053754971873783808,"Cincinnati, OH"
10,0.0,0.0,1.0,0.0,"RT @FootballTribeJP: 『アジア太平洋部長に聞くブンデスリーガが目指すグローバリゼーション』

サッカーのグローバリゼーション、アジアとブンデスリーガとをつなぐためにどんなことをしているのか、そしてサッカーの異文化交流の可能性について聞きました。

https…","35.6894875, 139.6917064",35.6894875,139.6917064,football,Sat Oct 20 21:08:57 +0000 2018,1053754970858840064,"Tokyo, Sapporo, Bali and Barcelona"
11,0.0,0.0,1.0,0.0,@ChrisRatty7 It’s incredible football Chris.,"52.3555177, -1.1743197",52.3555177,-1.1743197,football,Sat Oct 20 21:08:57 +0000 2018,1053754970087002120,"England, United Kingdom"
13,-0.0,0.207,0.541,0.252,"@BradLoganCOTE How the hell do you think this was a late hit?  Clean, good football hit.","30.2385294, -90.9200987",30.2385294,-90.9200987,football,Sat Oct 20 21:08:57 +0000 2018,1053754968715476992,"Gonzales, LA"
