,Compound,Negative,Neutral,Positive,Tweet,coordinates,latitudes,longitudes,target,time,tweet_ID,tweet_location
0,0.0,0.0,1.0,0.0,"Halloween Decorating and Marketing Tips For Selling Your House and can also be for Thanksgiving!
#holidaydecor… https://t.co/vYCA4kmZmE","34.4581622, -84.2914892",34.4581622,-84.2914892,halloween,Sat Oct 27 19:17:10 +0000 2018,1056263555056582657,"Big Canoe, GA"
1,0.3182,0.0,0.839,0.161,RT @HistoriaEnFotos: El mejor y más original disfraz de Halloween que verás hoy https://t.co/H61glT2wAj,"-23.442503, -58.443832",-23.442503,-58.443832,halloween,Sat Oct 27 19:17:10 +0000 2018,1056263554490421253,Paraguay♡
2,0.1779,0.0,0.909,0.091,"RT @whathannahwrote: In the spirit of Halloween, I wrote a post on some of my biggest phobias... 🎃https://t.co/J7fqDvaPGb #bloggerstribe @a…","55.378051, -3.435973",55.378051,-3.435973,halloween,Sat Oct 27 19:17:10 +0000 2018,1056263554368716800,United Kingdom
4,0.0,0.0,1.0,0.0,Met this spooky guy at @ArchPub yesterday. #worcester #pub #Halloween #pumpkin #thearchrivals https://t.co/l8TRCfgqSR,"42.2625932, -71.8022934",42.2625932,-71.8022934,halloween,Sat Oct 27 19:17:10 +0000 2018,1056263553177608192,Worcester
5,0.0,0.0,1.0,0.0,RT @thelifeofsharks: #Halloween #sharks #comic #cartoon #webtoon https://t.co/PtJJzFM2FS,"51.5073509, -0.1277583",51.5073509,-0.1277583,halloween,Sat Oct 27 19:17:10 +0000 2018,1056263552942649345,"London, England"
7,0.34,0.0,0.789,0.211,@flagg_1 Que bien te ha quedado la decoración de Halloween,"45.5102189, -122.6819791",45.5102189,-122.6819791,halloween,Sat Oct 27 19:17:10 +0000 2018,1056263552904777728,Saturno
8,0.0,0.0,1.0,0.0,"RT @KTPrepElite: HS (9-11 grade) Open Tryouts

**December 2 &amp; 9**
-Callbacks December 15 or 16

To be apart of KT you have to tryout for KT…","38.3396367, -122.7010984",38.3396367,-122.7010984,halloween,Sat Oct 27 19:17:09 +0000 2018,1056263552179175425,"Rohnert Park, Ca"
9,0.872,0.116,0.421,0.463,"RT @mailienidk: dear girls who are dressing up slutty for Halloween....

have fun and be safe. ily","28.669997, -81.20812029999999",28.669997,-81.20812029999999,halloween,Sat Oct 27 19:17:09 +0000 2018,1056263551944482817,"Oviedo, FL"
10,0.4767,0.0,0.853,0.147,"@_Abii_Gonzalez Creo que sí, ya hasta subieron una foto juntos en ig de que fueron a una fiesta fe halloween😱","19.173773, -96.1342241",19.173773,-96.1342241,halloween,Sat Oct 27 19:17:09 +0000 2018,1056263551499698176,Veracruz 
11,0.5411,0.0,0.775,0.225,"@HunksOfHallmark @hallmarkchannel @RadyMichael #CountDownToHalloween Too early, can we enjoy Halloween and Thanksgiving first!?😋","37.9717334, -87.57151710000001",37.9717334,-87.57151710000001,halloween,Sat Oct 27 19:17:09 +0000 2018,1056263550937784320,Southwestern Indiana
15,0.659,0.0,0.625,0.375,I have two clients for a Halloween party today and I’m really excited,"40.7127753, -74.0059728",40.7127753,-74.0059728,halloween,Sat Oct 27 19:17:09 +0000 2018,1056263550157643777,New York
16,0.0,0.0,1.0,0.0,The Breeders Cover John Carpenter’s Halloween Score Live https://t.co/Pd4yZg4Y1J Presented by MusicLinkUp,"36.6957207, -94.95867129999999",36.6957207,-94.95867129999999,halloween,Sat Oct 27 19:17:09 +0000 2018,1056263549532692483,"Everywhere & Nowhere, En Route"
17,0.5562,0.0,0.626,0.374,The fun continues at Halloween ComicFest 2018!,"33.9934867, -81.0739825",33.9934867,-81.0739825,halloween,Sat Oct 27 19:17:09 +0000 2018,1056263549369176065,"West Columbia, South Carolina"
21,0.0,0.0,1.0,0.0,"【🎃HERBIE HALLOWEEN🎃】
4:10
👉軽く1000人越え😱
この時間でもまだまだパンパン💥
終わりが見えない今日の PARTY‼️
広島でもココだけ👍まだ間に合います

#ハービーハロウィン #ハロウィン⁠ ⁠⁠… https://t.co/vOzmcBHvzt","34.3894242, 132.4637377",34.3894242,132.4637377,halloween,Sat Oct 27 19:17:08 +0000 2018,1056263547716390912,日本 広島県広島市中区流川町8-20 流川エイトビルB1F
22,0.1531,0.0,0.926,0.074,Ok but i just realised joe mcfadden did a foxtrot on Halloween week last week and joe sugg did it this year tjskjfskfn,"52.3555177, -1.1743197",52.3555177,-1.1743197,halloween,Sat Oct 27 19:17:08 +0000 2018,1056263547431383040,"England, United Kingdom"
23,0.0,0.0,1.0,0.0,RT @Harry_ThighKink: Harry dress as Freddie Mercury for Halloween https://t.co/oVBao3W4uC,"41.87194, 12.56738",41.87194,12.56738,halloween,Sat Oct 27 19:17:08 +0000 2018,1056263546789658624,Italia
26,0.0,0.0,1.0,0.0,RT @DreadCentral: Jamie Lee Curtis Will Return for Blumhouse HALLOWEEN Sequel If... - https://t.co/ZRz6wCsJhi https://t.co/4xLlg3YTeo,"39.8915022, -75.03767069999999",39.8915022,-75.03767069999999,halloween,Sat Oct 27 19:17:08 +0000 2018,1056263546496016384,Haddonfield
27,0.8034,0.0,0.753,0.247,RT @FragranceDirect: RT to WIN! Halloween is creeping up on us (see what we did there) and for today's competition we're giving away a bott…,"55.864237, -4.251806",55.864237,-4.251806,halloween,Sat Oct 27 19:17:08 +0000 2018,1056263545787162624,Glasgow
29,0.0,0.0,1.0,0.0,RT @PlasticfreeWilm: 10 ways to have a plastic-free Halloween with children https://t.co/F4KZqU6iLe via @countrylivinguk,"53.328, -2.229409",53.328,-2.229409,halloween,Sat Oct 27 19:17:08 +0000 2018,1056263544826671107,"Wilmslow, England."
31,0.0,0.0,1.0,0.0,RT @yodeesigner: Halloween bukan budaya kita. Budaya kita adalah matiin Last Seen whatsapp,"-0.789275, 113.921327",-0.789275,113.921327,halloween,Sat Oct 27 19:17:08 +0000 2018,1056263544713269248,Indonesia
34,0.7457,0.0,0.716,0.284,"RT @MannyMua733: What are you guys gonna be for Halloween?!? 👀 I’m so curious!
-
Eyes - @bperfectcosm x staceymariemua 😍
Highlight - 😇 http…","40.6331249, -89.3985283",40.6331249,-89.3985283,halloween,Sat Oct 27 19:17:08 +0000 2018,1056263544134684672,"Illinois, USA"
37,0.0,0.0,1.0,0.0,RT @_midwesthotmess: I'm over the whole halloween thing already. Let's bring in thanksgiving &amp; christmas 🦃🎄,"41.8780025, -93.097702",41.8780025,-93.097702,halloween,Sat Oct 27 19:17:07 +0000 2018,1056263543199354881,Iowa
38,0.0,0.0,1.0,0.0,RT @lienzoss: @eldiariodedross disfraz de halloween https://t.co/JIB521JZjq,"25.7616798, -80.1917902",25.7616798,-80.1917902,halloween,Sat Oct 27 19:17:07 +0000 2018,1056263543161528321,Miami FL
41,0.0,0.0,1.0,0.0,"RT @pedestriandaily: He's a rocket man. 
https://t.co/oRMQGRKzHr","-38.416097, -63.61667199999999",-38.416097,-63.61667199999999,halloween,Sat Oct 27 19:17:07 +0000 2018,1056263542641434624,argentina 
44,0.0,0.0,1.0,0.0,RT @nachocabrera61: Halloween me está dejando seco mal de plata,"-31.42008329999999, -64.1887761",-31.42008329999999,-64.1887761,halloween,Sat Oct 27 19:17:07 +0000 2018,1056263541911683072,"Córdoba, Argentina"
45,0.4019,0.0,0.816,0.184,i wanna be post malone for halloween. someone help me draw the face tattoos,"30.42130899999999, -87.2169149",30.42130899999999,-87.2169149,halloween,Sat Oct 27 19:17:07 +0000 2018,1056263541865541638,"Pensacola, FL"
46,0.7964,0.0,0.69,0.31,Hopefully see you all tonight for the Halloween party musoc tonight by Drew Charlie and special guest. Buffet and p… https://t.co/LS55MrxV1u,"55.79333500000001, -4.867278000000001",55.79333500000001,-4.867278000000001,halloween,Sat Oct 27 19:17:07 +0000 2018,1056263541697732609,Largs 
48,0.0,0.0,1.0,0.0,"ceritanya upload foto ini dalam rangka halloween.

(ps: maaf make upnya masih amatir, jgn hujat aku kak😂) https://t.co/j2ibMzQaXU","-7.5360639, 112.2384017",-7.5360639,112.2384017,halloween,Sat Oct 27 19:17:07 +0000 2018,1056263540237979648,"East Java, ID"
49,0.4753,0.0,0.846,0.154,Nice one @Uber changing your drivers cars into BATS 🦇 ! I thought the batmobile was arriving to collect me #halloween,"51.216814, 0.239516",51.216814,0.239516,halloween,Sat Oct 27 19:17:07 +0000 2018,1056263540221362177,Hildenborough
50,0.8176,0.0,0.706,0.294,RT @heshrry: harry wins halloween. he owns halloween. it's HARRYWEEN now. legend. icon. never been done before. amazing. king. https://t.co…,"42.9117377, -73.86808719999999",42.9117377,-73.86808719999999,halloween,Sat Oct 27 19:17:07 +0000 2018,1056263539999031297,"Ballston Lake, NY "
51,0.5242,0.0,0.793,0.207,"I liked a @YouTube video https://t.co/gGw1MJRWAN Fortnite Halloween Update 2018!! *NEW* Zombies, Skins, Crossbow, Revolver, Pumpkin","36.7682088, -76.2874927",36.7682088,-76.2874927,halloween,Sat Oct 27 19:17:06 +0000 2018,1056263539323744257,"Chesapeake, VA"
