,Compound,Negative,Neutral,Positive,Tweet,coordinates,latitudes,longitudes,target,time,tweet_ID,tweet_location
0,0.0,0.0,1.0,0.0,"RT @mildwannabe: มีสาวๆสนใจ ตัวนี้เยอะ The ordinary 
เลยพยายามหาข้อสรุปของแต่ละสูตรมาให้อ่านกันค่ะ ลองอ่านดูนะคะ ว่าตัวไหนเหมาะกับผิวของตัว…","15.870032, 100.992541",15.870032,100.992541,hippo,Fri Oct 26 03:45:31 +0000 2018,1055666708654960640,ประเทศไทย
6,-0.5334,0.198,0.802,0.0,"RT @friendlyykid: RT to be in a hippo campus gc! 
•crackheads only
•stan hip hop campy 
•if this flops idk y’all 😤","34.0522342, -118.2436849",34.0522342,-118.2436849,hippo,Fri Oct 26 03:43:42 +0000 2018,1055666251345719296,"Los Angeles, CA"
7,0.0,0.0,1.0,0.0,RT @iiceamice: วันนี้ใช้ The ordinary ครบ 4 เดือนแล้วว เดี๋ยวจะมาทยอยรีวิวทั้งหมด 10 ตัวใต้ทวิตนี้ มีตัวที่ดีเว่อๆๆๆๆ เฉยๆก็มี จะพยายามให้…,"15.870032, 100.992541",15.870032,100.992541,hippo,Fri Oct 26 03:43:36 +0000 2018,1055666225215242250,ประเทศไทย
8,0.0,0.0,1.0,0.0,@hippo_gryph ベネ自体は強いけど武器スペースがあるかというと,"31.3782921, 130.8520774",31.3782921,130.8520774,hippo,Fri Oct 26 03:43:09 +0000 2018,1055666112484933633,鹿屋→リンガ
9,0.3612,0.0,0.828,0.172,"RT @slipperyhero: @Bearded_Hippo @KT_So_It_Goes Seems like self-described ""#catgirl"" @elonmusk wants the bites? https://t.co/Pb94uLji2P","55.378051, -3.435973",55.378051,-3.435973,hippo,Fri Oct 26 03:42:55 +0000 2018,1055666057007034370,United Kingdom
12,0.8111,0.0,0.694,0.306,"RT @d_m_club: Vanilla: This must be Chuuko! She is determined and a really curious girl...or should I say, nosy! She's more like a sugar ma…","42.8959233, -87.9776838",42.8959233,-87.9776838,hippo,Fri Oct 26 03:42:11 +0000 2018,1055665871182553088,Hope's Peak Academy
15,0.6785,0.0,0.753,0.247,"Vanilla: This must be Chuuko! She is determined and a really curious girl...or should I say, nosy! She's more like… https://t.co/VXyzPMyQmb","36.204824, 138.252924",36.204824,138.252924,hippo,Fri Oct 26 03:41:30 +0000 2018,1055665699861852160,Japan
16,-0.5848,0.192,0.808,0.0,she's right! y'all need to stand the fuck up when golden by hippo campus comes on https://t.co/j1CwXRpEpq,"46.729553, -94.6858998",46.729553,-94.6858998,hippo,Fri Oct 26 03:40:58 +0000 2018,1055665563077230593,mn
29,0.3612,0.0,0.8,0.2,"@Bearded_Hippo @KT_So_It_Goes Seems like self-described ""#catgirl"" @elonmusk wants the bites? https://t.co/Pb94uLji2P","37.8271784, -122.2913078",37.8271784,-122.2913078,hippo,Fri Oct 26 03:30:57 +0000 2018,1055663043445612544,"Bay Area, California"
31,0.0,0.0,1.0,0.0,『【暈】（かさ）』hippo@home｜https://t.co/AUCKAZMMhY,"33.8834093, 130.8752161",33.8834093,130.8752161,hippo,Fri Oct 26 03:30:43 +0000 2018,1055662985526439936,福岡県北九州市
34,0.6239,0.0,0.796,0.204,Hutto Hippo Football brings home another win tonight against the Plugerville Panthers!  We remain undefeated. Congr… https://t.co/ehJubqSTE5,"30.54269949999999, -97.5466702",30.54269949999999,-97.5466702,hippo,Fri Oct 26 03:29:55 +0000 2018,1055662784653021184,"Hutto, TX"
37,0.7783,0.0,0.227,0.773,@Bearded_Hippo @KT_So_It_Goes wow haha,"40.2671941, -86.1349019",40.2671941,-86.1349019,hippo,Fri Oct 26 03:29:01 +0000 2018,1055662555157422081,"Indiana, USA"
39,0.7506,0.076,0.625,0.299,Lol apparently hippo and her friends are buying tix from those 3rd party sellers no wonder they were so loud agains… https://t.co/gIelhdkTtf,"1.352083, 103.819836",1.352083,103.819836,hippo,Fri Oct 26 03:28:55 +0000 2018,1055662530079555590,Singapore
40,0.0,0.0,1.0,0.0,“It’s a... lounging hippo. That is very unflattering” @ashgrace96 #chatswithchachee,"29.7604267, -95.3698028",29.7604267,-95.3698028,hippo,Fri Oct 26 03:28:38 +0000 2018,1055662461746139139,"Houston, TX"
42,-0.4939,0.225,0.775,0.0,RT @morisawachiaki: yall fools calling hifumi/doppo hifudo or dohifu its obviously hippo,"40.71061700000001, -74.01052039999999",40.71061700000001,-74.01052039999999,hippo,Fri Oct 26 03:26:46 +0000 2018,1055661991136841728,will | they | 21 | sapphic
43,0.0,0.0,1.0,0.0,"RT @exexexexexoLsh: 진짜 AAA투표 급하거 아시죠,,?저희 등수...진짜 급해요 투표 분위기 잡아주세요 #엑소엘_AAA_같이해 
✅AAA투표 까먹지 마세요!✅
✅AAA투표 까먹지 마세요!✅
✅AAA투표 까먹지 마세요!✅
✅AAA투표…","35.907757, 127.766922",35.907757,127.766922,hippo,Fri Oct 26 03:26:39 +0000 2018,1055661959956226048,대한민국
46,0.2732,0.0,0.656,0.344,@KT_So_It_Goes Oh God the thread,"39.7392358, -104.990251",39.7392358,-104.990251,hippo,Fri Oct 26 03:23:02 +0000 2018,1055661053227331584,Denver
48,0.0,0.0,1.0,0.0,DISTRIBUTOR BATRE HIPPO POWER TERMURAH || HIPPO (DX1) ECERAN 60K GROSIR MIN 30pc 45K || ADD BBM 32A834AB / 08891047101,"-6.9174639, 107.6191228",-6.9174639,107.6191228,hippo,Fri Oct 26 03:20:34 +0000 2018,1055660429995732993,Bandung
50,0.0,0.0,1.0,0.0,RT @777hippo: 【ヒッポうらない】今日の運勢は!? #hippo #パチンコ #スロット https://t.co/1I9ztELRc8,"36.204824, 138.252924",36.204824,138.252924,hippo,Fri Oct 26 03:20:08 +0000 2018,1055660321589739525,日本
51,0.68,0.073,0.667,0.26,"RT @sabaatahir: Me: *sneezes*
6yo: you sneeze like papa
9yo: like a bear
6yo: like a rhino
9yo: no, a hippo! 
Me: YOU COULD JUST SAY ""BLESS…","27.6648274, -81.5157535",27.6648274,-81.5157535,hippo,Fri Oct 26 03:20:04 +0000 2018,1055660306171678720,"Florida, USA"
