,Compound,Negative,Neutral,Positive,Tweet,coordinates,latitudes,longitudes,target,time,tweet_ID,tweet_location
0,0.0,0.0,1.0,0.0,"RT @twmiller13: Merkle's Coleen Kuehn will be presenting at Dailymotion's ""Contextual Targeting on the Rise"" event in #NYC on 10/30 at 6pm.…","37.5660817, -122.322865",37.5660817,-122.322865,merkle,Fri Oct 26 18:58:49 +0000 2018,1055896550843576326,"San Mateo, CA. New York, NY."
2,-0.68,0.365,0.635,0.0,Wrapping #MerkleB2BExchange with a killer panel! @Visa @Dell @Merkle https://t.co/ShF9idVkAq,"39.166263, -76.8432663",39.166263,-76.8432663,merkle,Fri Oct 26 18:53:47 +0000 2018,1055895283719196672,"Columbia, MD 21046"
3,0.0,0.0,1.0,0.0,@GobernoAlem Que mala eres Merkle,"51.6754966, 39.2088823",51.6754966,39.2088823,merkle,Fri Oct 26 18:53:35 +0000 2018,1055895231013498881,"Воронеж, Россия"
5,0.5965,0.0,0.796,0.204,"@Erich_Merkle @DougKass trust me, you really don’t want to follow this guy. he’s correct for maybe 2nweeks out of e… https://t.co/UtofsZ21jP","37.7749295, -122.4194155",37.7749295,-122.4194155,merkle,Fri Oct 26 18:41:26 +0000 2018,1055892174779412481,SanFran/LA/NYC
6,0.0,0.0,1.0,0.0,"Next week: @Merkle's Coleen Kuehn @ColeenKM will be presenting at Dailymotion's ""Contextual Targeting on the Rise""… https://t.co/yIzkRGyrVQ","41.8781136, -87.6297982",41.8781136,-87.6297982,merkle,Fri Oct 26 18:40:04 +0000 2018,1055891832054329344,Chicago IL
7,0.0,0.0,1.0,0.0,RT @NeilBeckford: The Zcoin cryptocurrency has thrown out ASICs for a Merkle Tree proof concept - Cryptoline News https://t.co/Y1mcdpoVKN v…,"-8.0522404, -34.9286096",-8.0522404,-34.9286096,merkle,Fri Oct 26 18:35:12 +0000 2018,1055890607531536384,"Recife, Brazil"
9,0.0,0.0,1.0,0.0,"@GamesDoneQuick hello, I’m having some registration issues that I just emailed Hannah and Matt Merkle about. If one… https://t.co/SnzXRuClQT","33.1192068, -117.086421",33.1192068,-117.086421,merkle,Fri Oct 26 18:29:48 +0000 2018,1055889245871595520,"Escondido, CA"
11,0.0,0.0,1.0,0.0,"RT @twmiller13: Merkle's Coleen Kuehn will be presenting at Dailymotion's ""Contextual Targeting on the Rise"" event in #NYC on 10/30 at 6pm.…","53.3498053, -6.2603097",53.3498053,-6.2603097,merkle,Fri Oct 26 18:10:00 +0000 2018,1055884265383178240,"Dublin City, Ireland"
12,0.0,0.0,1.0,0.0,"RT @IAGLR: Merkle &amp; DeStasio. 2018. Bythotrephes longimanus in shallow, nearshore waters: Interactions with Leptodora kindtii, impacts on #…","44.0886059, -87.657584",44.0886059,-87.657584,merkle,Fri Oct 26 18:09:59 +0000 2018,1055884261532880900,"Manitowoc, WI"
14,0.8399,0.07,0.605,0.325,There's  no better way to kick off your Halloween weekend than Happy Hour Trivia at the very fun Merkle's Bar &amp; Gri… https://t.co/HPUyVj4iTa,"41.8781136, -87.6297982",41.8781136,-87.6297982,merkle,Fri Oct 26 18:05:20 +0000 2018,1055883090034413568,"Chicago, IL"
15,0.0,0.0,1.0,0.0,"RT @BadmintonTalk: Yak ini tadi ya diperkenalkan tim junior Prancis pas kelar game pertama tadi..

Ada Arnaud Merkle, Leonice Huet, Kenji L…","-6.879704100000001, 109.1255917",-6.879704100000001,109.1255917,merkle,Fri Oct 26 18:03:40 +0000 2018,1055882668536082432,Tegal
16,0.0,0.0,1.0,0.0,"RT @ahoranoticiasAN: El ataque de risa del príncipe #Harry y #Meghan 🤭
https://t.co/HR6UZQS9jt","-33.4488897, -70.6692655",-33.4488897,-70.6692655,merkle,Fri Oct 26 17:52:13 +0000 2018,1055879787460333569,Santiago - Chile
17,0.0,0.0,1.0,0.0,"RT @BadmintonTalk: Yak ini tadi ya diperkenalkan tim junior Prancis pas kelar game pertama tadi..

Ada Arnaud Merkle, Leonice Huet, Kenji L…","31.1178653, 74.4408385",31.1178653,74.4408385,merkle,Fri Oct 26 17:46:43 +0000 2018,1055878405516754944,pinggiran kasur
18,0.0,0.0,1.0,0.0,"RT @BadmintonTalk: Yak ini tadi ya diperkenalkan tim junior Prancis pas kelar game pertama tadi..

Ada Arnaud Merkle, Leonice Huet, Kenji L…","-0.789275, 113.921327",-0.789275,113.921327,merkle,Fri Oct 26 17:46:15 +0000 2018,1055878286939570176,indonesia
19,0.0,0.0,1.0,0.0,"RT @BadmintonTalk: Yak ini tadi ya diperkenalkan tim junior Prancis pas kelar game pertama tadi..

Ada Arnaud Merkle, Leonice Huet, Kenji L…","-6.17511, 106.8650395",-6.17511,106.8650395,merkle,Fri Oct 26 17:45:01 +0000 2018,1055877978503110657,"Jakarta, Indonesia"
21,0.0,0.0,1.0,0.0,"RT @BadmintonTalk: Yak ini tadi ya diperkenalkan tim junior Prancis pas kelar game pertama tadi..

Ada Arnaud Merkle, Leonice Huet, Kenji L…","36.3394303, -94.212132",36.3394303,-94.212132,merkle,Fri Oct 26 17:38:54 +0000 2018,1055876438753075200,overseas
22,0.0,0.0,1.0,0.0,"Merkle's Coleen Kuehn will be presenting at Dailymotion's ""Contextual Targeting on the Rise"" event in #NYC on 10/30… https://t.co/CrNuAxuH69","39.2903848, -76.6121893",39.2903848,-76.6121893,merkle,Fri Oct 26 17:38:54 +0000 2018,1055876436869840897,"Baltimore, MD"
23,0.0,0.0,1.0,0.0,"New artwork for sale! - ""Prairie Sky"" - https://t.co/TFJStoT7kP @fineartamerica https://t.co/Cki2WYffmp","46.3449532, -119.2795623",46.3449532,-119.2795623,merkle,Fri Oct 26 17:38:37 +0000 2018,1055876366372163584,Pacific Northwest USA
24,0.0,0.0,1.0,0.0,"Merkle &amp; DeStasio. 2018. Bythotrephes longimanus in shallow, nearshore waters: Interactions with Leptodora kindtii,… https://t.co/IyiuieXnGR","42.2808256, -83.7430378",42.2808256,-83.7430378,merkle,Fri Oct 26 17:38:00 +0000 2018,1055876209995735040,"Ann Arbor, MI"
26,0.0,0.0,1.0,0.0,"RT @BadmintonTalk: Yak ini tadi ya diperkenalkan tim junior Prancis pas kelar game pertama tadi..

Ada Arnaud Merkle, Leonice Huet, Kenji L…","-6.17511, 106.8650395",-6.17511,106.8650395,merkle,Fri Oct 26 17:37:40 +0000 2018,1055876128559161344,"Jakarta, Indonesia"
28,0.2023,0.0,0.927,0.073,RT @SuperRare_co: Our digital art gallery is on the top floor of the Status hackathon space. Total sales will be matched by @ethstatus with…,"54.5259614, 15.2551187",54.5259614,15.2551187,merkle,Fri Oct 26 17:33:57 +0000 2018,1055875193015582722,Europe
29,0.765,0.0,0.612,0.388,".@Merkle has launched the first-of-its kind #voicesearch discovery tool, Voice Active Listening, that leverages… https://t.co/vZNL1MB2Zs","39.0457549, -76.64127119999999",39.0457549,-76.64127119999999,merkle,Fri Oct 26 17:31:16 +0000 2018,1055874514108669952,"Maryland, USA"
