,Compound,Negative,Neutral,Positive,Tweet,coordinates,latitudes,longitudes,target,time,tweet_ID,tweet_location
2,-0.4767,0.129,0.871,0.0,"RT @TheRickWilson: ""These bombs targeting Hillary and Obama are a fake news stunt,"" say people who thought Hillary ran a child sex ring fro…","42.6641312, -81.2155934",42.6641312,-81.2155934,pizza,Wed Oct 24 19:50:18 +0000 2018,1055184728884723712,"Central Elgin, Ontario"
5,0.6249,0.0,0.594,0.406,@jeribrwnt @Ffwrnes @CardiffMarket_ Great pizza. Rubbish T Shirt.,"51.48158100000001, -3.17909",51.48158100000001,-3.17909,pizza,Wed Oct 24 19:50:16 +0000 2018,1055184720810663936,Cardiff
7,0.7004,0.0,0.51,0.49,My FAVE pizza for lunch!!!!! https://t.co/P48TyKNmFH,"36.3207998, -121.2438138",36.3207998,-121.2438138,pizza,Wed Oct 24 19:50:15 +0000 2018,1055184716402515975,"Greenfield, CA"
8,0.2732,0.061,0.83,0.109,@_FemalePharaoh like that’s just too much meat i’m grossed out looking at it and knowing there is people who would… https://t.co/OBCt1jqmSi,"37.9531868, -122.0875202",37.9531868,-122.0875202,pizza,Wed Oct 24 19:50:15 +0000 2018,1055184715051950080,where the wild things are
9,-0.34,0.112,0.888,0.0,"@on_reserve imagine stuffed crust pizza where they don’t bother with the pizza part. and the crust is really bland,… https://t.co/JzgH42TUvk","40.6892494, -74.04450039999999",40.6892494,-74.04450039999999,pizza,Wed Oct 24 19:50:14 +0000 2018,1055184713399308288,🗽
10,0.8126,0.0,0.637,0.363,I was able to vote today AND I got a free pizza from school. Today is a great day.,"37.8783803, -88.39337909999999",37.8783803,-88.39337909999999,pizza,Wed Oct 24 19:50:14 +0000 2018,1055184712849866752,Texas•Illinois
11,-0.296,0.109,0.891,0.0,"RT @Edward_Coke: —Bueno señor Glas, no gané, aquí esta su pizza.
—Pero si estoy en huelga de hambre. https://t.co/0Y8nTzQy3S","-1.831239, -78.18340599999999",-1.831239,-78.18340599999999,pizza,Wed Oct 24 19:50:14 +0000 2018,1055184711771918336,Ecuador
13,0.0,0.0,1.0,0.0,RT @ilovepadarias: linda pizza https://t.co/9GeobzZmPQ,"-22.8728058, -42.3413939",-22.8728058,-42.3413939,pizza,Wed Oct 24 19:50:13 +0000 2018,1055184707523100672,"Araruama, RJ"
15,-0.2732,0.13,0.87,0.0,We cut carbs with a pizza cutter. The end. 😃🍕| PC: Chef Josh #Foodies #IslandLavaJava https://t.co/kLfc6UL68W,"19.639994, -155.9969261",19.639994,-155.9969261,pizza,Wed Oct 24 19:50:11 +0000 2018,1055184701655261184,"Kona, Hawaii"
16,0.6239,0.0,0.806,0.194,"Margarita Pizza with extra toppings including pepperoni, sausage, red &amp; green peppers.  What a beauty! What do you… https://t.co/Yc109b7sNH","41.6861794, -72.5450779",41.6861794,-72.5450779,pizza,Wed Oct 24 19:50:11 +0000 2018,1055184701621723139,"Glastonbury, CT"
17,-0.7579,0.351,0.649,0.0,@patriciagamarra Jajajajajajaja. Sigo sin entender que está mal con la pizza con piña. :(,"-12.0463731, -77.042754",-12.0463731,-77.042754,pizza,Wed Oct 24 19:50:11 +0000 2018,1055184699432337408,Lima-Peru
19,0.0,0.0,1.0,0.0,@Ida_Violas @lindberg_ola Ja! Vi gjorde ju pizza här hemma hos mig! Det är dags för date med #Tantmaffian igen!,"55.604981, 13.003822",55.604981,13.003822,pizza,Wed Oct 24 19:50:10 +0000 2018,1055184695535788033,"Malmö, Sweden"
24,0.1511,0.0,0.93,0.07,"@cuteposhmom I'm not going there empty Handed, I'll grab some Sandwiches and pizza on my way and then I'll tell the… https://t.co/sR9l01KjJy","10.2464087, 11.1617356",10.2464087,11.1617356,pizza,Wed Oct 24 19:50:08 +0000 2018,1055184685251395585,"Gombe state, Nigeria"
25,-0.4767,0.129,0.871,0.0,"RT @TheRickWilson: ""These bombs targeting Hillary and Obama are a fake news stunt,"" say people who thought Hillary ran a child sex ring fro…","39.1031182, -84.5120196",39.1031182,-84.5120196,pizza,Wed Oct 24 19:50:07 +0000 2018,1055184683288481792,Cincinnati
26,0.0,0.0,1.0,0.0,"RT @RebeuIn2Hood: -j’ai mangé une pizza chez algerien 
-Elle était comment? https://t.co/CMX4c7NLb1","36.028981, -95.945641",36.028981,-95.945641,pizza,Wed Oct 24 19:50:07 +0000 2018,1055184681942028289,93 
28,0.0,0.0,1.0,0.0,Has any pizza place made an add for pizza where two DJs are having a scratch competition but the records are pizza… https://t.co/Ynx6VRr13l,"34.1651334, -118.2864509",34.1651334,-118.2864509,pizza,Wed Oct 24 19:50:06 +0000 2018,1055184677059813377,Sunny Glendale
29,0.0,0.0,1.0,0.0,"Why not make Wednesday, Pizza day? https://t.co/k5sHMgPL0z","41.7533819, -86.11083769999999",41.7533819,-86.11083769999999,pizza,Wed Oct 24 19:50:04 +0000 2018,1055184670764208129,"Granger, IN"
31,0.0,0.0,1.0,0.0,"RT @josemtnezz_: que asco dan los altibajos, un día te sientes como la pizza y otro como la mierda","39.4699075, -0.3762881",39.4699075,-0.3762881,pizza,Wed Oct 24 19:50:03 +0000 2018,1055184668293808129,"Valencia, España"
32,0.7067,0.0,0.673,0.327,RT @nitram___: Pineapples on pizza is very delicious TO ME!!! 😭 https://t.co/foS5FylhXZ,"29.7604267, -95.3698028",29.7604267,-95.3698028,pizza,Wed Oct 24 19:50:03 +0000 2018,1055184667559841795,"Houston, TX"
34,0.7067,0.0,0.673,0.327,RT @nitram___: Pineapples on pizza is very delicious TO ME!!! 😭 https://t.co/foS5FylhXZ,"32.779523, -96.763177",32.779523,-96.763177,pizza,Wed Oct 24 19:50:02 +0000 2018,1055184664061665280,"Murder Worth, TX"
36,0.6932,0.0,0.629,0.371,@chels_maharaj @potatohaught @liiinndz EVERYONE LOVES PINEAPPLE ON PIZZA! 🤣😂,"51.5073509, -0.1277583",51.5073509,-0.1277583,pizza,Wed Oct 24 19:50:02 +0000 2018,1055184660794408961,"🇬🇧 - London, baby! "
37,0.7067,0.0,0.673,0.327,RT @nitram___: Pineapples on pizza is very delicious TO ME!!! 😭 https://t.co/foS5FylhXZ,"-40.900557, 174.885971",-40.900557,174.885971,pizza,Wed Oct 24 19:50:01 +0000 2018,1055184658718019584,New Zealand 
38,0.0,0.0,1.0,0.0,"RT @moissdesouza: Sua pizza será entregue em 45 minutos

45 minutos depois ouço um barulho de moto

Eu:  https://t.co/MpSewis0Lq","29.478713, -98.3617721",29.478713,-98.3617721,pizza,Wed Oct 24 19:50:01 +0000 2018,1055184657371852800,021
39,0.0,0.0,1.0,0.0,Se dan cuenta de lo importante que es el coso de la pizza? https://t.co/tU0VLzlBue,"-34.6036844, -58.3815591",-34.6036844,-58.3815591,pizza,Wed Oct 24 19:50:00 +0000 2018,1055184653634752512,"Buenos Aires, Argentina"
41,-0.8316,0.315,0.685,0.0,"RT @KaivanShroff: They murdered Heather Heyer.

They got a D.C. pizza joint shot up.

Their congressman assaulted a journalist. 

Their pre…","41.49932, -81.6943605",41.49932,-81.6943605,pizza,Wed Oct 24 19:50:00 +0000 2018,1055184653492064263,"Cleveland, OH"
42,-0.4767,0.129,0.871,0.0,"RT @TheRickWilson: ""These bombs targeting Hillary and Obama are a fake news stunt,"" say people who thought Hillary ran a child sex ring fro…","53.3005939, -2.371833",53.3005939,-2.371833,pizza,Wed Oct 24 19:50:00 +0000 2018,1055184652175052803,Knutsford
45,0.7184,0.0,0.792,0.208,RT @that1mum: I asked him if he wanted to order a pizza and he started doin this. I love him so much. https://t.co/pVoRVHmK5R,"44.3148443, -85.60236429999999",44.3148443,-85.60236429999999,pizza,Wed Oct 24 19:49:57 +0000 2018,1055184640045170689,"Michigan, USA"
46,0.5538,0.0,0.817,0.183,RT @MrsHickmann: @BlazePizza fundraiser on Monday!! Support @Bchschoirss by showing this picture and eating pizza! @BCHS_SDE https://t.co/z…,"43.0605671, -88.1064787",43.0605671,-88.1064787,pizza,Wed Oct 24 19:49:57 +0000 2018,1055184639919300611,"Brookfield, WI"
49,0.0,0.0,1.0,0.0,"Casi nunca comemos pizza en mi casa (menos por rachas) y si la comemos es casera de mi madre q está buenísima, pero… https://t.co/9d89pTcRIg","39.4518434, -0.4714694",39.4518434,-0.4714694,pizza,Wed Oct 24 19:49:54 +0000 2018,1055184628187914241,"Alaquàs, España"
51,0.0,0.0,1.0,0.0,"È da troppo tempo che non mangio una pizza, saranno mesi ...","37.5078772, 15.0830304",37.5078772,15.0830304,pizza,Wed Oct 24 19:49:53 +0000 2018,1055184624744366080,"Catania, Italy"
52,0.0,0.0,1.0,0.0,@ESPNcricinfo Australia’s Men cricket Team without @davidwarner31 &amp; @stevesmith49 is a Pizza 🍕 without toppings . T… https://t.co/sbS8oJq4uK,"20.593684, 78.96288",20.593684,78.96288,pizza,Wed Oct 24 19:49:51 +0000 2018,1055184617660006400,India
53,0.6103,0.059,0.757,0.184,RT @pchs_choirs: Had an amazing lunch with the 8th graders after a long day of hard work!! 😀 #excited #futurewildcats #pizza https://t.co/f…,"41.632223, -88.2120315",41.632223,-88.2120315,pizza,Wed Oct 24 19:49:51 +0000 2018,1055184616276017154,"Plainfield, IL"
55,0.0258,0.224,0.549,0.227,"@lilxslime @flexshomaru "" I hate this town. My friends will help me through the darkness. Let's have a pizza party… https://t.co/hZNMcp41UD","35.7595731, -79.01929969999999",35.7595731,-79.01929969999999,pizza,Wed Oct 24 19:49:51 +0000 2018,1055184614745088002,"Firelink Shrine, NC"
