,Compound,Negative,Neutral,Positive,Tweet,coordinates,latitudes,longitudes,target,time,tweet_ID,tweet_location
0,0.0,0.0,1.0,0.0,#MAGABomber #Trump https://t.co/PhT4dzN7q9,"35.7595731, -79.01929969999999",35.7595731,-79.01929969999999,trump,Fri Oct 26 17:39:47 +0000 2018,1055876661441380353,North Carolina
1,0.4404,0.0,0.884,0.116,RT @DannyZuker: Thought experiment for Trump supporters: Imagine your reaction if the van was covered in ISIS flags or “I’m with her” stick…,"41.909611, -87.771964",41.909611,-87.771964,trump,Fri Oct 26 17:39:47 +0000 2018,1055876661386694656,Planet Earth
2,-0.5106,0.125,0.875,0.0,RT @Randall_Tex: @MattGraver2 The media is already at 11 in their Trump outrage volume. So this takes them up only slightly. They've been s…,"26.0734119, -97.2085844",26.0734119,-97.2085844,trump,Fri Oct 26 17:39:47 +0000 2018,1055876661181403136,"Port Isabel, TX"
4,-0.765,0.248,0.752,0.0,"RT @charliekirk11: ""Experts"" said Trump would lose in historic fashion (Huge win)

'Experts"" said Trump will start war with N. Korea (Close…","32.1656221, -82.9000751",32.1656221,-82.9000751,trump,Fri Oct 26 17:39:47 +0000 2018,1055876660929671168,GA🍑➡️NY🗽➡️ SC🌴🌙➡️TX🇨🇱
6,0.3164,0.086,0.77,0.144,@DogginTrump @thedaywedecide Me too! I just can’t wait until we can all forget about trump and have a good presiden… https://t.co/iKPz3DUfXK,"39.9611755, -82.99879419999999",39.9611755,-82.99879419999999,trump,Fri Oct 26 17:39:47 +0000 2018,1055876660745195521,Columbus Ohio 
7,0.7638,0.076,0.611,0.313,"@WalshFreedom Very true statement. 
Trump is still better than socialism and open borders. I HAVE to support him. I don't like it either.","43.7844397, -88.7878678",43.7844397,-88.7878678,trump,Fri Oct 26 17:39:47 +0000 2018,1055876660547981317,Wisconsin
8,0.2732,0.0,0.89,0.11,RT @WheresMyArk_23: @hasanthehun If only they treated a Trump supporter who attempted to assassinate 12 people including former presidents…,"41.7435073, -88.0118473",41.7435073,-88.0118473,trump,Fri Oct 26 17:39:47 +0000 2018,1055876660489265152,Chicagoland
10,-0.4215,0.123,0.877,0.0,@KagKeep @mitchellvii Trump is definately as guilty as media for any division in usa in my opinion.  Both sides are… https://t.co/ea2oyW7UPE,"37.09024, -95.712891",37.09024,-95.712891,trump,Fri Oct 26 17:39:47 +0000 2018,1055876660308910080,USA
13,0.4404,0.0,0.791,0.209,@Iain643 Better get some tips from Donald Trump about rebuilding the wall,"52.4750743, -1.829833",52.4750743,-1.829833,trump,Fri Oct 26 17:39:47 +0000 2018,1055876660099203073,"West Midlands, England"
14,-0.6249,0.177,0.823,0.0,RT @MatthewIA03: Trump’s tariff policy is an unequivocal short and long term disaster for Iowa’s farmers. Iowa’s @GOP politicians @RepDavid…,"41.6611277, -91.5301683",41.6611277,-91.5301683,trump,Fri Oct 26 17:39:47 +0000 2018,1055876660095078401,"Iowa City, IA"
