,Compound,Negative,Neutral,Positive,Tweet,coordinates,latitudes,longitudes,target,time,tweet_ID,tweet_location
1,0.0,0.0,1.0,0.0,What a song!😍 https://t.co/nZ9UWujIjS,"29.7604267, -95.3698028",29.7604267,-95.3698028,apple,Sat Oct 20 19:32:42 +0000 2018,1053730747281035265,"Houston, TX"
2,0.0,0.0,1.0,0.0,RT @ky4yan3: appleのサポートに相談した結果、一部ですが返金の処理をしていただけました。,"35.667102, 139.713703",35.667102,139.713703,apple,Sat Oct 20 19:32:42 +0000 2018,1053730746987233280,とないぼうしょ
5,0.0,0.0,1.0,0.0,RT @ThatsJay7: Apple needa change FACETIME back to the way it was !!,"36.1039955, -80.2414543",36.1039955,-80.2414543,apple,Sat Oct 20 19:32:40 +0000 2018,1053730740297498625,757
6,0.3818,0.0,0.822,0.178,RT @PETTYMAMII: Dear Apple... nobody uses the word “ducking” or “butch” ... NOBODY🗣,"35.7595731, -79.01929969999999",35.7595731,-79.01929969999999,apple,Sat Oct 20 19:32:40 +0000 2018,1053730739601240064,"North Carolina, USA"
10,0.0,0.0,1.0,0.0,"RT @shelovecontroI: me to my parents when they ask me do you have any guy songs on your apple music playlist

 https://t.co/wZd76fdBVZ","34.170582, -118.339838",34.170582,-118.339838,apple,Sat Oct 20 19:32:39 +0000 2018,1053730736862302209,halloween town
11,0.0,0.0,1.0,0.0,RT @ThatsJay7: Apple needa change FACETIME back to the way it was !!,"33.7489954, -84.3879824",33.7489954,-84.3879824,apple,Sat Oct 20 19:32:39 +0000 2018,1053730735092350978,"Atlanta, GA"
12,0.8422,0.0,0.665,0.335,RT @davelackie: Create the perfect Clinique complexion with this True Bronzer in 'sunblushed' + Cheek Colour Balm in 'amp'ed up apple'. Win…,"44.3148443, -85.60236429999999",44.3148443,-85.60236429999999,apple,Sat Oct 20 19:32:38 +0000 2018,1053730733334904832,"Michigan, USA"
14,0.0,0.0,1.0,0.0,RT @Trendingjoey: Apple juice https://t.co/lBXze4vyCD,"39.7294319, -104.8319195",39.7294319,-104.8319195,apple,Sat Oct 20 19:32:38 +0000 2018,1053730729912283136,"aurora, colorado"
15,0.0,0.0,1.0,0.0,"RT @ky4yan3: 【 iPhone  iPad 注意】
この塗り絵アプリ「無料」とありますがインストール後、少し経ってから毎週¥450ずつ引き落とし始めます。僕は気付かず1万円以上やられちゃいました。引き落としされているかどうか確認する方法載せます。

Pigment…","35.1218175, 138.8341327",35.1218175,138.8341327,apple,Sat Oct 20 19:32:37 +0000 2018,1053730729266302978,菓南カーブ
19,0.0,0.0,1.0,0.0,RT @averymartin44: bone apple tea https://t.co/rruPWM1xXq,"36.1626638, -86.7816016",36.1626638,-86.7816016,apple,Sat Oct 20 19:32:36 +0000 2018,1053730721867747329,"Nashville, TN"
21,0.296,0.149,0.632,0.218,Trans cyclist defends her win after 3rd place competitor complains - Daily Mail https://t.co/sUwQrvzeHM,"39.7594656, -94.8792939",39.7594656,-94.8792939,apple,Sat Oct 20 19:32:35 +0000 2018,1053730720227778560,#114
23,0.3818,0.0,0.822,0.178,RT @PETTYMAMII: Dear Apple... nobody uses the word “ducking” or “butch” ... NOBODY🗣,"19.8967662, -155.5827818",19.8967662,-155.5827818,apple,Sat Oct 20 19:32:35 +0000 2018,1053730718373670912,Hawai’i
25,0.3818,0.0,0.822,0.178,RT @PETTYMAMII: Dear Apple... nobody uses the word “ducking” or “butch” ... NOBODY🗣,"36.3320196, -94.1185366",36.3320196,-94.1185366,apple,Sat Oct 20 19:32:34 +0000 2018,1053730716951986176,"Rogers, AR"
26,0.0,0.0,1.0,0.0,🌈 🎧 #London #Apple #AppleStore https://t.co/RJqBONpxXW,"38.1156879, 13.3612671",38.1156879,13.3612671,apple,Sat Oct 20 19:32:34 +0000 2018,1053730716637372416,Palermo
29,0.0,0.0,1.0,0.0,@Music__Mentor @KRA_LIVES https://t.co/ZuifeIaUFb,"47.7510741, -120.7401385",47.7510741,-120.7401385,apple,Sat Oct 20 19:32:34 +0000 2018,1053730714456190977,"Washington, USA"
30,0.3818,0.0,0.822,0.178,RT @PETTYMAMII: Dear Apple... nobody uses the word “ducking” or “butch” ... NOBODY🗣,"29.7604267, -95.3698028",29.7604267,-95.3698028,apple,Sat Oct 20 19:32:34 +0000 2018,1053730714204753925,"Houston, TX"
31,0.0,0.0,1.0,0.0,https://t.co/qFvuG3JuXr,"33.566276, -86.7688781",33.566276,-86.7688781,apple,Sat Oct 20 19:32:33 +0000 2018,1053730711801397248,45th & Hudson
32,0.0,0.0,1.0,0.0,pero que te pasa con apple,"36.7517638, -95.9948972",36.7517638,-95.9948972,apple,Sat Oct 20 19:32:33 +0000 2018,1053730710836731904,a
33,0.5719,0.0,0.81,0.19,RT @Curiosity_Films: This is worth sharing with students or teachers during trainings. This is a lot more than a poem by Andrew Siltanen or…,"41.8780025, -93.097702",41.8780025,-93.097702,apple,Sat Oct 20 19:32:32 +0000 2018,1053730708068413440,"Iowa, USA"
34,0.0,0.0,1.0,0.0,"RT @MrSaa3d: برنامج فكرته مجنونه 

اي احد يحرك جهازك او يلمسه راح يرن جهازك بصوت قوي جداً 🔔 

مثلاً تفعله وقت النوم ، و أي أحد يحاول انه يح…","27.5114102, 41.7208243",27.5114102,41.7208243,apple,Sat Oct 20 19:32:32 +0000 2018,1053730708013887488,"حائل, المملكة العربية السعودية"
35,0.0,0.0,1.0,0.0,"RT @PatyCantu: Viendo la luz! #333DELUXE 
Música más allá de géneros.
Más allá de nacionalidades.
Más allá de modas.
TÚ historia. La mia.…","-34.6036844, -58.3815591",-34.6036844,-58.3815591,apple,Sat Oct 20 19:32:32 +0000 2018,1053730707992993792,Ciudad Autónoma de Buenos Aire
39,0.4404,0.0,0.854,0.146,"RT @SupaaFlyBalla: Adam: ""aight all we gotta do is not eat the apple and we good""

Eve: 
https://t.co/ezu1kgreQs","34.0165053, -118.1137535",34.0165053,-118.1137535,apple,Sat Oct 20 19:32:32 +0000 2018,1053730706294169600,"Montebello, CA"
41,0.0,0.0,1.0,0.0,RT @ThatsJay7: Apple needa change FACETIME back to the way it was !!,"37.0298687, -76.34522179999999",37.0298687,-76.34522179999999,apple,Sat Oct 20 19:32:32 +0000 2018,1053730705187000326,"Hampton, VA"
43,0.296,0.0,0.761,0.239,"My Treasure Map Barracuda:) 
#taptapfish
Download: https://t.co/J7eDCS1DSV https://t.co/MERMx2DFK0","56.130366, -106.346771",56.130366,-106.346771,apple,Sat Oct 20 19:32:30 +0000 2018,1053730698828214272,Canada
47,0.0,0.0,1.0,0.0,I just beat Heatherfeather1401 in #FARKLE on Dice World! My user is angelgirl1976. https://t.co/qMEELOi8ou https://t.co/qMEELOi8ou,"35.62929099999999, -87.032157",35.62929099999999,-87.032157,apple,Sat Oct 20 19:32:29 +0000 2018,1053730693325512705,southern middle TN
48,0.0,0.0,1.0,0.0,"RT @ArmyBrigade13: 🎶 &lt;&lt; Streaming Links &gt;&gt; 🎶

Spotify
https://t.co/CDozl50dHp …

Tidal
https://t.co/ChXpWJKLB9 

Apple Music
https://t.co/J…","60.4518126, 22.2666302",60.4518126,22.2666302,apple,Sat Oct 20 19:32:28 +0000 2018,1053730690041344001,"Turku, Finland"
49,0.0,0.0,1.0,0.0,"-Soy Marlene hija de los Alpes.
-Bruno, de Apple, de la manzana de toda la vida.","40.6781784, -73.9441579",40.6781784,-73.9441579,apple,Sat Oct 20 19:32:27 +0000 2018,1053730683716288513,"Brooklyn, NY"
51,0.3818,0.0,0.794,0.206,"RT @calebwolf18: Dear Apple, never have I ever used “Ducking” on purpose","32.715738, -117.1610838",32.715738,-117.1610838,apple,Sat Oct 20 19:32:26 +0000 2018,1053730679878373377,"San Diego, CA"
52,0.0,0.0,1.0,0.0,RT @ThatsJay7: Apple needa change FACETIME back to the way it was !!,"34.0522342, -118.2436849",34.0522342,-118.2436849,apple,Sat Oct 20 19:32:25 +0000 2018,1053730679052103680,"Los Angeles, CA"
53,0.8079,0.0,0.722,0.278,"RT @RitterAmes: LAST WEEKEND!
#99cent SALE
SAVE $4.00!

""If you haven't discovered this series yet, I highly recommend picking it up"" 
 Coz…","36.7212737, -4.4213988",36.7212737,-4.4213988,apple,Sat Oct 20 19:32:25 +0000 2018,1053730678712532994,"Malaga, Spain"
54,0.0,0.0,1.0,0.0,"RT @courses_app: في مدينة #الرياض
على هامش معرض #سعودي_موبايل_شو @SaudiMobileShow
سوف تقام #دورات قصيرة #مجانا في #ريادة_الأعمال و #تخصصات…","23.885942, 45.079162",23.885942,45.079162,apple,Sat Oct 20 19:32:25 +0000 2018,1053730675508105217,المملكة العربية السعودية
