,Compound,Negative,Neutral,Positive,Tweet,coordinates,latitudes,longitudes,target,time,tweet_ID,tweet_location
1,-0.2263,0.185,0.664,0.151,"RT @Swahili5th: #Wildlife RT @TomHall: African Wildlife Defence Force Rangers 

struggle to help an injured

Giraffe back on to her feet.
#…","31.9685988, -99.9018131",31.9685988,-99.9018131,giraffe,Sat Oct 20 19:01:35 +0000 2018,1053722918541320192,"Texas, USA"
2,0.6771,0.0,0.773,0.227,RT @Zarkwan: I’ve decide to identify myself as a giraffe. Anyone who doesn’t accept that I am really a giraffe is clearly a giraffephobe. I…,"57.64984759999999, -3.3168039",57.64984759999999,-3.3168039,giraffe,Sat Oct 20 19:01:23 +0000 2018,1053722867307868160,moray
7,0.0,0.0,1.0,0.0,RT @MagicalTrouble: Do you ever go on YouTube thinking you'll be on to watch a quick music video then 5 Hours laters you find yourself watc…,"43.8137751, -91.25190169999999",43.8137751,-91.25190169999999,giraffe,Sat Oct 20 18:59:02 +0000 2018,1053722276737245185,"La Crosse, WI"
8,0.0,0.0,1.0,0.0,RT @WurmAnDerSchnur: Bin jetzt Besitzerin einer Helium-Giraffe aufgrund von sozialistischer Umlagerung. https://t.co/b7GrLIwIam,"51.2964148, 6.8401844",51.2964148,6.8401844,giraffe,Sat Oct 20 18:57:57 +0000 2018,1053722005055397888,"Ratingen, Deutschland"
9,0.0,0.0,1.0,0.0,"RT @obitsman: Lizzy the Giraffe dies at 2 at Des Moines zoo. Cause unk.
https://t.co/1wd39YVJ5B https://t.co/aOcAynM2CO","-25.274398, 133.775136",-25.274398,133.775136,giraffe,Sat Oct 20 18:57:48 +0000 2018,1053721966950129666,Australia
10,0.0,0.0,1.0,0.0,RT @JoeyTribbiiani: Work till you can afford a giraffe https://t.co/Wqx82emR7V,"42.3600825, -71.0588801",42.3600825,-71.0588801,giraffe,Sat Oct 20 18:57:46 +0000 2018,1053721956716068865,"Boston, MA"
11,-0.1027,0.149,0.851,0.0,"I would pay to see Elephant, giraffe, etc.  poachers beheaded.","42.6611431, 13.6986639",42.6611431,13.6986639,giraffe,Sat Oct 20 18:57:27 +0000 2018,1053721877343019008,"Teramo, Abruzzo"
13,0.0,0.0,1.0,0.0,RT @gallogallo1967: @NoAnimalPoachin @eaglesnest1961 @WoodwarddianneJ @mikecoulson48 @I_am_IamSmart @JohnFordBlagger @HHMU_Banksia @LoriBla…,"53.9915028, -1.5412015",53.9915028,-1.5412015,giraffe,Sat Oct 20 18:56:49 +0000 2018,1053721717573672960,Nth Yorks
16,0.0,0.0,1.0,0.0,RT @WCGWVids: WCGW if i close the window on a Giraffe. https://t.co/VB4dVwF1Hb,"31.9685988, -99.9018131",31.9685988,-99.9018131,giraffe,Sat Oct 20 18:56:01 +0000 2018,1053721519032074242,"Texas, USA"
18,-0.296,0.103,0.84,0.057,"RT @DPhinnemore: ""the feeling in Brussels is that May was always going to have to disappoint at least one major stakeholder — and it's look…","51.5073509, -0.1277583",51.5073509,-0.1277583,giraffe,Sat Oct 20 18:55:24 +0000 2018,1053721362274156544,"London, England"
19,0.0,0.0,1.0,0.0,@NoAnimalPoachin @eaglesnest1961 @WoodwarddianneJ @mikecoulson48 @I_am_IamSmart @JohnFordBlagger @HHMU_Banksia… https://t.co/OhE4g06qU6,"33.9358935, -118.2919275",33.9358935,-118.2919275,giraffe,Sat Oct 20 18:55:15 +0000 2018,1053721322591805440,Who cares
23,0.0,0.0,1.0,0.0,RT @WCGWVids: WCGW if i close the window on a Giraffe. https://t.co/VB4dVwF1Hb,"39.0457549, -76.64127119999999",39.0457549,-76.64127119999999,giraffe,Sat Oct 20 18:54:19 +0000 2018,1053721087614377985,"Maryland, USA"
25,0.0,0.0,1.0,0.0,RT @WurmAnDerSchnur: Bin jetzt Besitzerin einer Helium-Giraffe aufgrund von sozialistischer Umlagerung. https://t.co/b7GrLIwIam,"48.13596159999999, 11.5382059",48.13596159999999,11.5382059,giraffe,Sat Oct 20 18:53:29 +0000 2018,1053720877613936641,"Schwanthalerhöhe, München"
29,0.4404,0.0,0.775,0.225,Any day that includes getting to feed a giraffe is a good day.,"31.9685988, -99.9018131",31.9685988,-99.9018131,giraffe,Sat Oct 20 18:53:24 +0000 2018,1053720856579444736,Texas
31,0.5106,0.0,0.837,0.163,Shop at EveryThing4You Babies | Free UK Delivery | Now Available To Ship Within Europe | Tommee Tippee Soft Comfort… https://t.co/kLzXeE5KUz,"55.378051, -3.435973",55.378051,-3.435973,giraffe,Sat Oct 20 18:53:02 +0000 2018,1053720767421206528,United Kingdom
34,0.0,0.0,1.0,0.0,RT @WCGWVids: WCGW if i close the window on a Giraffe. https://t.co/VB4dVwF1Hb,"43.1706128, -78.6903098",43.1706128,-78.6903098,giraffe,Sat Oct 20 18:52:03 +0000 2018,1053720519080599553,"Lockport, NY"
36,0.0,0.0,1.0,0.0,RT @WCGWVids: WCGW if i close the window on a Giraffe. https://t.co/VB4dVwF1Hb,"18.389396, -66.1653224",18.389396,-66.1653224,giraffe,Sat Oct 20 18:51:43 +0000 2018,1053720435597164545,"Bayamón, PR"
38,0.0,0.0,1.0,0.0,RT @WCGWVids: WCGW if i close the window on a Giraffe. https://t.co/VB4dVwF1Hb,"45.4942838, -122.8670454",45.4942838,-122.8670454,giraffe,Sat Oct 20 18:51:02 +0000 2018,1053720262753939456,"Aloha, OR"
41,0.5106,0.0,0.883,0.117,RT @jikookheart: 1. jungkook pulls jimin’s tie 2. jimin sits on his lap 3. jungkook holds jimin by his waist 4. jimin gets comfortable 5. t…,"37.7749295, -122.4194155",37.7749295,-122.4194155,giraffe,Sat Oct 20 18:50:30 +0000 2018,1053720129542881280,"San Francisco, California"
42,0.0,0.0,1.0,0.0,RT @WCGWVids: WCGW if i close the window on a Giraffe. https://t.co/VB4dVwF1Hb,"41.8780025, -93.097702",41.8780025,-93.097702,giraffe,Sat Oct 20 18:50:24 +0000 2018,1053720104196866048,"Iowa, USA"
44,0.0,0.0,1.0,0.0,Wildlands heeft er een giraffe bij - #rtvdrenthe https://t.co/AORbpx10SY,"53.05891039999999, 6.721367799999999",53.05891039999999,6.721367799999999,giraffe,Sat Oct 20 18:50:15 +0000 2018,1053720067429556224,"Annen, Aa en Hunze"
45,0.6037,0.0,0.859,0.141,"RT @jiminsIy: JUNGKOOK REALLY PULLED JIMIN BY THE TIE, JIMIN SAT DOWN HIS LAP, JUNGKOOK PUT HIS HAND ON JIMIN'S WAIST AND JIMIN WRAPPED HIS…","37.7749295, -122.4194155",37.7749295,-122.4194155,giraffe,Sat Oct 20 18:50:02 +0000 2018,1053720013130018816,"San Francisco, California"
47,0.0,0.0,1.0,0.0,My baby giraffe💜,"39.0997265, -94.5785667",39.0997265,-94.5785667,giraffe,Sat Oct 20 18:49:22 +0000 2018,1053719842535153665,"Kansas City, MO"
50,0.0,0.0,1.0,0.0,Do you ever go on YouTube thinking you'll be on to watch a quick music video then 5 Hours laters you find yourself… https://t.co/hCQBVbg3A2,"28.3575294, -81.55827140000001",28.3575294,-81.55827140000001,giraffe,Sat Oct 20 18:48:27 +0000 2018,1053719613798789121,A Galaxy far far away 
52,0.0,0.0,1.0,0.0,RT @WCGWVids: WCGW if i close the window on a Giraffe. https://t.co/VB4dVwF1Hb,"51.5073509, -0.1277583",51.5073509,-0.1277583,giraffe,Sat Oct 20 18:48:15 +0000 2018,1053719563383332864,"London, England"
53,0.0,0.0,1.0,0.0,@MaskenballTV ICH WILL AUCH SO NE GIRAFFE 😍,"52.52000659999999, 13.404954",52.52000659999999,13.404954,giraffe,Sat Oct 20 18:48:07 +0000 2018,1053719530084679680,"Berlin, Deutschland"
55,0.0,0.0,1.0,0.0,Di naman kasi sila tulad ng Juanbies na halos faney na ni Rhian kakastalk sa mga posts niya. Ultimo pagkain ng cura… https://t.co/71bTYo1kqi,"36.1498952, -96.0055776",36.1498952,-96.0055776,giraffe,Sat Oct 20 18:47:36 +0000 2018,1053719399142580224,PH
56,-0.5994,0.281,0.719,0.0,How long are @Joe_Sugg and @Zoella's necks? Giraffe looking cunts #Strictly,"51.5073509, -0.1277583",51.5073509,-0.1277583,giraffe,Sat Oct 20 18:47:31 +0000 2018,1053719375889530881,London
58,0.0,0.0,1.0,0.0,RT @WCGWVids: WCGW if i close the window on a Giraffe. https://t.co/VB4dVwF1Hb,"48.856614, 2.3522219",48.856614,2.3522219,giraffe,Sat Oct 20 18:47:18 +0000 2018,1053719321258721281,paris
