,Compound,Negative,Neutral,Positive,Tweet,coordinates,latitudes,longitudes,target,time,tweet_ID,tweet_location
1,-0.6908,0.183,0.817,0.0,RT @brycetache: I don’t know who the terrorist is. But I know it’s not a family seeking asylum. I know it’s not a DREAMer. I know it’s not…,"20.2830067, -103.4251691",20.2830067,-103.4251691,football,Fri Oct 26 04:49:10 +0000 2018,1055682728715321344,"Jocotepec, Jalisco, Mexico."
2,0.2023,0.106,0.752,0.142,"RT @SaffronBengal: Yesterday,  Indian U-19 girls football team humiliated Pakistan in AFC U19 Women’s Championships with a scoreline of 18-…","20.593684, 78.96288",20.593684,78.96288,football,Fri Oct 26 04:49:10 +0000 2018,1055682727490543617,भारत
4,0.717,0.0,0.8,0.2,RT @HeritageASB: This game will also be televised on Fox Sports West! KGGI 99.1 will be at the game as well! Football and Cheer Senior Nigh…,"33.9930435, -118.478898",33.9930435,-118.478898,football,Fri Oct 26 04:49:07 +0000 2018,1055682713569480705,California Love
7,0.6369,0.0,0.846,0.154,RT @DevilsOfUnited: Robin van Persie has announced he will retire from football at the end of this season. One of the greatest signings in…,"21.485811, 39.19250479999999",21.485811,39.19250479999999,football,Fri Oct 26 04:49:05 +0000 2018,1055682706737061888,Jeddah
9,0.8057,0.0,0.752,0.248,"RT @grhs_stuco: Hey Hawks, make sure to go out tomorrow night and watch your Hawks Football Team win @ Cibola!!!

Game starts @ 7!!! 🏈🏈🏈

D…","32.6926512, -114.6276916",32.6926512,-114.6276916,football,Fri Oct 26 04:49:04 +0000 2018,1055682702760787968,"Yuma, Az"
10,0.2263,0.0,0.913,0.087,"Nice little dig from @SydneyFC but I don’t think it will work to getting people in
SCG = sideline 40-80m from front… https://t.co/TdKQ6jP4cs","-35.2809368, 149.1300092",-35.2809368,149.1300092,football,Fri Oct 26 04:49:03 +0000 2018,1055682698855931904,"Canberra, Australia"
11,-0.6705,0.36,0.64,0.0,RT @NickWaltersTV: Texas HS Football nearly killed me https://t.co/VJArXANfRf,"32.7766642, -96.79698789999999",32.7766642,-96.79698789999999,football,Fri Oct 26 04:49:03 +0000 2018,1055682696410730496,"Dallas, TX"
14,0.6154,0.161,0.549,0.291,RT @EriqueOmondy: It's unbelievable that there's no  Gor Mahia player who has won any award despite winning the league with 6 matches left…,"51.5548885, -0.108438",51.5548885,-0.108438,football,Fri Oct 26 04:48:59 +0000 2018,1055682682133405699,Emirates Stadium
16,0.0,0.0,1.0,0.0,"RT @AZHSFB: The C-Town Rivals Podcast, Season 6, Episode 8. In this miniature episode, (19 minutes) Brett Quintyne and Chilly discuss Week…","32.9110027, -111.7733902",32.9110027,-111.7733902,football,Fri Oct 26 04:48:58 +0000 2018,1055682677435588609,"Casa Grande, AZ"
19,0.0,0.0,1.0,0.0,RT @Sheadixon: BREAKING: Louisiana 5-star RB John Emery has decommitted from Georgia less than three months after getting on board with the…,"30.9842977, -91.96233269999999",30.9842977,-91.96233269999999,football,Fri Oct 26 04:48:57 +0000 2018,1055682674499747840,LOUISIANA
20,0.0,0.0,1.0,0.0,RT @BCFHOF: Week 8 Black College Football Player of the Year Spotlight: @BowieStFootball QB Amir Hall moved into 2nd place in @CIAAForLife…,"38.78492110000001, -76.8720961",38.78492110000001,-76.8720961,football,Fri Oct 26 04:48:56 +0000 2018,1055682668053098496,Prince George's County
21,0.5106,0.0,0.769,0.231,Florida State preps for talented Clemson freshman QB Trevor Lawrence https://t.co/i73DlFOOIq https://t.co/Dokwgr3CLj,"27.6648274, -81.5157535",27.6648274,-81.5157535,football,Fri Oct 26 04:48:56 +0000 2018,1055682667507826688,South Florida
22,0.836,0.0,0.717,0.283,Perfect example of how 1. DeAndre Hopkins is the best receiver in football and 2. NFL refs are bad/ruining the enjo… https://t.co/KXPRFdnxh1,"39.7392358, -104.990251",39.7392358,-104.990251,football,Fri Oct 26 04:48:55 +0000 2018,1055682663300780032,"Denver, CO"
23,-0.6908,0.183,0.817,0.0,RT @brycetache: I don’t know who the terrorist is. But I know it’s not a family seeking asylum. I know it’s not a DREAMer. I know it’s not…,"32.3792233, -86.3077368",32.3792233,-86.3077368,football,Fri Oct 26 04:48:54 +0000 2018,1055682661082169345,"Montgomery, AL"
24,-0.6908,0.183,0.817,0.0,RT @brycetache: I don’t know who the terrorist is. But I know it’s not a family seeking asylum. I know it’s not a DREAMer. I know it’s not…,"44.0581728, -121.3153096",44.0581728,-121.3153096,football,Fri Oct 26 04:48:48 +0000 2018,1055682635681460225,"Bend, OR"
25,0.0,0.0,1.0,0.0,Army football could beat Ohio State. Army beat Eastern Mich. and Eastern Mich. beat Purdue and Purdue handled tOSU. Facts!,"35.7975986, -95.25051730000001",35.7975986,-95.25051730000001,football,Fri Oct 26 04:48:47 +0000 2018,1055682632296681472,"Fort Gibson, Ok"
26,0.5719,0.0,0.829,0.171,The Houston Texans had won four consecutive games entering their Thursday Night #Football showdown with the Miami D… https://t.co/ak8w8BSiLf,"40.660899, -73.55143",40.660899,-73.55143,football,Fri Oct 26 04:48:47 +0000 2018,1055682630405025792,NORTH AMERICA/EUROPE
27,0.0,0.0,1.0,0.0,@SnarkActual Tiebreaker is who can throw a football over the tallest mountain.,"40.7127753, -74.0059728",40.7127753,-74.0059728,football,Fri Oct 26 04:48:46 +0000 2018,1055682628362403840,"New York, NY"
29,0.9186,0.0,0.548,0.452,"RT @robynvio: go to the last home game tomorrow
support the football players
support the cheerleaders
support reu
celebrate senior night
ha…","36.778261, -119.4179324",36.778261,-119.4179324,football,Fri Oct 26 04:48:44 +0000 2018,1055682617805164546,california
30,0.0,0.0,1.0,0.0,#Hokies Open question to @VT_Football and #BudFoster: What the hell!? Maybe *TRY* eight men in the box? Maybe try t… https://t.co/1jOMWySXKm,"39.5500507, -105.7820674",39.5500507,-105.7820674,football,Fri Oct 26 04:48:43 +0000 2018,1055682614097457152,Colorado
31,0.4019,0.0,0.881,0.119,"RT @wrhorne: Bonanza Richard Curry, a Special Olympic athlete and 3-year football manager, scores on a 25 yard touchdown run for the Bengal…","36.0137787, -83.85548740000002",36.0137787,-83.85548740000002,football,Fri Oct 26 04:48:43 +0000 2018,1055682614076432384,Tilted Towers
32,0.3818,0.0,0.874,0.126,"RT @MegWochnick: UPDATED story on Darien Chase’s (@chasedariem) commitment Thursday to Nebraska of the BIG-10 Conference. 🌽 #GBR

STORY ▶️…","41.2565369, -95.9345034",41.2565369,-95.9345034,football,Fri Oct 26 04:48:43 +0000 2018,1055682612591841280,"Omaha, NE"
34,0.4019,0.0,0.881,0.119,"RT @densilva2: Story: History was made, once again, for Tompkins football on Thursday as the Falcons secured their first-ever playoff berth…","29.7857853, -95.8243956",29.7857853,-95.8243956,football,Fri Oct 26 04:48:40 +0000 2018,1055682602647121920,"Katy, TX"
35,-0.6908,0.183,0.817,0.0,RT @brycetache: I don’t know who the terrorist is. But I know it’s not a family seeking asylum. I know it’s not a DREAMer. I know it’s not…,"37.09024, -95.712891",37.09024,-95.712891,football,Fri Oct 26 04:48:40 +0000 2018,1055682602512707586,United States
36,-0.8807,0.481,0.519,0.0,RT @CitizensAddict: Pep Guardiola reveals anguish after Manchester Arena bomb attack | Daily Mail https://t.co/jD96PYceGw,"50.718412, -3.533899",50.718412,-3.533899,football,Fri Oct 26 04:48:40 +0000 2018,1055682600843575296,Exeter South West England
