,Compound,Negative,Neutral,Positive,Tweet,coordinates,latitudes,longitudes,target,time,tweet_ID,tweet_location
0,0.5399,0.0,0.858,0.142,"RT @kpazdecasitodo: CHECK IT OUT! Learn how easy it is to make #delicious, #wholesome, #lowcarb #Pizza from scratch at home! #easyrecipes #…","56.130366, -106.346771",56.130366,-106.346771,pizza,Wed Oct 24 19:26:04 +0000 2018,1055178628827238400,Canada
1,-0.8316,0.315,0.685,0.0,"RT @KaivanShroff: They murdered Heather Heyer.

They got a D.C. pizza joint shot up.

Their congressman assaulted a journalist. 

Their pre…","37.09024, -95.712891",37.09024,-95.712891,pizza,Wed Oct 24 19:26:03 +0000 2018,1055178624670797824,United States
2,0.0,0.0,1.0,0.0,@DiLoNation Pizza is life,"40.7549769, -73.99110089999999",40.7549769,-73.99110089999999,pizza,Wed Oct 24 19:26:02 +0000 2018,1055178622972162052,Get My Music
3,-0.8316,0.315,0.685,0.0,"RT @KaivanShroff: They murdered Heather Heyer.

They got a D.C. pizza joint shot up.

Their congressman assaulted a journalist. 

Their pre…","35.7795897, -78.6381787",35.7795897,-78.6381787,pizza,Wed Oct 24 19:26:01 +0000 2018,1055178620237426689,"Raleigh, NC"
4,0.0,0.0,1.0,0.0,"@LcjhWwHhyww7FM2 ご参加有難うございます🍕
あたり【860円オフクーポン】です😸
▼クーポンコード🎃
XDWGｰ454
※クーポン取得・利用期間は10/31迄
※配達利用の場合、各店配達エリアに限定
※WEBサイト… https://t.co/X9ZZzHigUC","35.4601003, 139.6281895",35.4601003,139.6281895,pizza,Wed Oct 24 19:26:01 +0000 2018,1055178619314626561,神奈川県横浜市西区みなとみらい4－4－5
5,-0.9584,0.462,0.538,0.0,"RT @_StegenismoFCB: El Barça sin Messi es como la tortilla sin cebolla, como la pizza sin queso, un atardecer sin el sol, una noche sin la…","37.1584106, -3.5982669",37.1584106,-3.5982669,pizza,Wed Oct 24 19:26:01 +0000 2018,1055178619302088705,Lanzarote/Granada
7,0.7184,0.0,0.792,0.208,RT @that1mum: I asked him if he wanted to order a pizza and he started doin this. I love him so much. https://t.co/pVoRVHmK5R,"37.09024, -95.712891",37.09024,-95.712891,pizza,Wed Oct 24 19:26:01 +0000 2018,1055178616697425921,United States
8,-0.4767,0.129,0.871,0.0,"RT @TheRickWilson: ""These bombs targeting Hillary and Obama are a fake news stunt,"" say people who thought Hillary ran a child sex ring fro…","39.5500507, -105.7820674",39.5500507,-105.7820674,pizza,Wed Oct 24 19:26:01 +0000 2018,1055178616101724160,"Colorado, USA"
9,0.34,0.0,0.882,0.118,"@TiC_Podcast So if pizza guys , taxi peps , bus driver , doctor , nureses , Security peps and m.m workers is workin… https://t.co/KZHXgHg7Fn","56.26392, 9.501785",56.26392,9.501785,pizza,Wed Oct 24 19:26:00 +0000 2018,1055178614763872256,Danmark
10,-0.8316,0.315,0.685,0.0,"RT @we_dems: They murdered Heather Heyer.

They got a D.C. pizza joint shot up.

Their congressman assaulted a journalist. 

Their presiden…","44.9841977, -74.50748999999999",44.9841977,-74.50748999999999,pizza,Wed Oct 24 19:26:00 +0000 2018,1055178614503817219,Northern New York
13,0.0,0.0,1.0,0.0,"RT @dji_djins: Ce qui connaissent la hess, connaissent les pizza surgelées Margarita et un élite de la Hess sait transformer une simple piz…","48.828508, 2.2188068",48.828508,2.2188068,pizza,Wed Oct 24 19:26:00 +0000 2018,1055178612926750720,92 haut de seine
14,0.4753,0.0,0.853,0.147,"Cinnamon, spice and everything nice! Head over to Rosati's Pizza - Peoria and use your TapOnIt Mobile Deals Peoria… https://t.co/eEzhm2nvoJ","40.6936488, -89.5889864",40.6936488,-89.5889864,pizza,Wed Oct 24 19:25:59 +0000 2018,1055178610015961089,"Peoria, IL"
15,0.34,0.0,0.844,0.156,I’m craving pizza my College was giving everyone PIZZA guess where I was in class 😩,"43.3724624, -92.1169302",43.3724624,-92.1169302,pizza,Wed Oct 24 19:25:59 +0000 2018,1055178609713967110,3HT
16,-0.4767,0.129,0.871,0.0,"RT @TheRickWilson: ""These bombs targeting Hillary and Obama are a fake news stunt,"" say people who thought Hillary ran a child sex ring fro…","35.3229789, -82.472416",35.3229789,-82.472416,pizza,Wed Oct 24 19:25:59 +0000 2018,1055178608677924867,Living Blue in NC
17,-0.6486,0.36,0.53,0.11,I need to b skinny this weekend but I want pizza fuck,"29.95106579999999, -90.0715323",29.95106579999999,-90.0715323,pizza,Wed Oct 24 19:25:59 +0000 2018,1055178608526979073,nola 
18,-0.8316,0.315,0.685,0.0,"RT @KaivanShroff: They murdered Heather Heyer.

They got a D.C. pizza joint shot up.

Their congressman assaulted a journalist. 

Their pre…","39.2903848, -76.6121893",39.2903848,-76.6121893,pizza,Wed Oct 24 19:25:58 +0000 2018,1055178606840815618,"Baltimore, MD"
21,0.0,0.0,1.0,0.0,Hey Tigers! A reminder that tomorrow at 6 pm in Coates 212 is our second general meeting of the semester. We will b… https://t.co/QOjpVJBewc,"30.4514677, -91.18714659999999",30.4514677,-91.18714659999999,pizza,Wed Oct 24 19:25:57 +0000 2018,1055178600922656781,"Baton Rouge, LA"
